"Dormstart_date" "Firstread_date" "Strain" "Rep" "Inoculum" "Dilution" "Colonies" "Notes" "Abund" "time"
"4373" "18-Jan-13" "21-Apr-15" "KBS0703" 2 50 3 100 "" 100001 823
"4374" "18-Jan-13" "21-Apr-15" "KBS0703" 3 50 2 68 "" 6801 823
"4375" "18-Jan-13" "21-Apr-15" "KBS0703" 4 50 2 115 "" 11501 823
"4376" "15-Feb-13" "21-Apr-15" "KBS0703" 5 50 3 121 "" 121001 795
"4377" "15-Feb-13" "21-Apr-15" "KBS0703" 6 50 3 136 "" 136001 795
"4458" "18-Jan-13" "13-May-15" "KBS0703" 1 50 3 70 "" 70001 845
"4459" "18-Jan-13" "13-May-15" "KBS0703" 2 50 3 83 "" 83001 845
"4460" "18-Jan-13" "13-May-15" "KBS0703" 3 50 2 12 "" 1201 845
"4461" "18-Jan-13" "13-May-15" "KBS0703" 4 50 2 64 "" 6401 845
"4462" "15-Feb-13" "13-May-15" "KBS0703" 5 50 3 126 "" 126001 817
"4463" "15-Feb-13" "13-May-15" "KBS0703" 6 50 3 124 "" 124001 817
