"","parameter","test","llr","p_value","sigsq_BM","sigsq_OU","alpha_OU","sigsq_GBM","slope_GBM"
"1","beta.log10","BM_OU",0.118839756408718,0.583,"7.19584961059605","8.05986792292829","0.305151009577933",NA,NA
"2","beta.log10","BM_GBM",0.0936364725471748,0.831,"7.19584961059605",NA,NA,"4.69421841264304","0.665907811564729"
"3","beta.log10","GBM_OU",0.025203283858815,0.338,NA,"8.05986792292829","0.305151009577933","4.69420805794261","0.665908944810892"
"4","alpha","BM_OU",4.11687231641594,0.089,"0.174616628827507","0.333881548376377","2.71828182845905",NA,NA
"5","alpha","BM_GBM",2.41734204016996,0.144,"0.174616628827507",NA,NA,"0.00200743879964008","100"
"6","alpha","GBM_OU",1.69953027624609,0.189,NA,"0.333881548376377","2.71828182845905","0.00200743887464382","100"
