Species	n_reps	n_muts	tajimas_d	t_stat	p_BH
ATCC13985	4	402.25	6.579672258749407	14.689601590973098	0.0005474346374848775
KBS0702	6	390.8333333333333	2.5767431289032756	31.3752196409854	2.470100879593524e-06
KBS0707	3	82.33333333333333	3.1821704433627125	9.334758085312563	0.005641120577058254
KBS0715	4	211.25	4.9855394804461	19.81028279233163	0.0003747726335870595
KBS0721	4	84.5	3.9174475259783237	15.168414735431694	0.0005474346374848775
KBS0722	3	121.66666666666667	4.684659376689357	26.446948910789377	0.0009511027385463466
KBS0724	4	98.5	4.880831375188222	31.26987724775894	0.00014372276778120034
KBS0801	3	41.666666666666664	4.932918542592842	23.234305411373732	0.0010555963045356081
