Species	mean_n_muts	mean_freq	max_freq	Theta	Pi	Tajimas_D	mean_N_mut	mean_binary_divisions	mean_gen_per_day	mean_birth_per_death	max_N_mut	max_binary_divisions	max_gen_per_day	max_birth_per_death
ATCC13985	402.25	0.17160532548714807	0.7012804747499999	3.983546963373433e-06	1.4427665843768575e-05	6.579672258749407	243458.70726575155	221183.0	0.020201774523871136	0.0008948857511294263	980736.51085	884735.0	0.022563011266206218	0.0002237198562818887
KBS0702	390.8333333333333	0.08859792724627487	0.39881722150000004	7.792322405766922e-06	1.589392205250532e-05	2.5767431289032756	43595.858762053336	27305.666666666668	0.015436568363461406	5.1722566699722166e-05	201230.92403566666	131071.0	0.01767753286216298	1.109723807018596e-05
KBS0707	82.33333333333333	0.1139903562259829	0.37096309666666666	1.0400845336557466e-06	2.3320472859066215e-06	3.1821704433627125	27736.140004433502	21844.333333333332	0.014331241458857913	0.005443944194799412	95875.75057733333	76457.66666666667	0.015992182184628275	0.0015065417884318174
KBS0715	211.25	0.15460452978005962	0.610034704	4.573412698305192e-06	1.3829358112940302e-05	4.9855394804461	42278.432385003674	32767.0	0.015210689620958649	9.806378397646877e-05	169824.264225	131071.0	0.01716917520673446	2.4515388180192466e-05
KBS0721	84.5	0.14190201649541018	0.4602286815	1.2356156810391131e-06	3.2582637815538245e-06	3.9174475259783237	14950.567080444569	9727.0	0.01350308696486277	6.121144284077504e-05	48162.575714	29695.0	0.015233354029018892	1.8393462735199064e-05
KBS0722	121.66666666666667	0.12432847580486639	0.46810468	1.7843137659515425e-06	5.4398762176141165e-06	4.684659376689357	498642.9065254998	349524.3333333333	0.018817263488691175	0.0020723822877549546	1874850.41485	1223337.6666666667	0.020737337698192474	0.0005835337941743347
KBS0724	98.5	0.15419158567129596	0.42740547649999994	1.0874123044242285e-06	3.2994668982736182e-06	4.880831375188222	32091.204478114854	22527.0	0.015091578767248785	0.0006692237694465145	87996.5852455	69631.0	0.016599429034156923	0.000225321439944708
KBS0801	41.666666666666664	0.14858534351393163	0.47604036333333327	3.846570204253567e-07	1.324441846433427e-06	4.932918542592842	220167.4117091795	152916.33333333334	0.01839165788836243	0.0002227402084790126	700185.6072666667	436905.6666666667	0.020141827724014447	7.611748856465934e-05
