,strain,rep,beta,alpha,std_dev,AIC,N.obs,beta.sd,alpha.sd,z.sd,mttf,mttf.sd
1,ATCC13985,1,57.5760113,0.676482625,0.897515049,179.0296819,66,11.29913499,0.054832394,0.078116575,75.38444315,8.743215082
2,ATCC13985,2,50.82284103,0.644201373,0.908467874,180.6312207,66,10.90014585,0.054547257,0.079069487,70.13878597,8.540514227
3,ATCC13985,3,3.173053454,0.35821489,1.288698502,193.3306138,56,2.303014248,0.051960277,0.121766282,14.74628216,3.716407447
4,ATCC13985,4,8.050021317,0.416766253,0.936877799,157.6121388,56,3.624962089,0.045651253,0.088534108,23.98406085,4.214188367
5,ATCC43928,1,5.089067294,0.423031576,1.296070361,227.5361259,66,2.268498723,0.039956227,0.112803614,14.60003374,3.120964754
6,ATCC43928,2,8.586923152,0.471481877,1.435259685,241.0018814,66,3.632474305,0.047206978,0.124917147,19.25680209,4.252527209
7,ATCC43928,3,1.414855609,0.274698754,0.906659488,153.9420362,56,1.17086017,0.039532703,0.085676303,20.04773018,2.462245394
8,ATCC43928,4,124.5311363,0.611629817,0.639380753,112.8871699,55,27.21929947,0.088976226,0.060960903,182.8234257,12.99888285
9,KBS0701,1,0.044941339,0.263012782,1.594609887,266.2050999,69,0.03693471,0.023003873,0.135746984,0.804116879,0.273077527
10,KBS0701,2,0.159984974,0.287216902,1.686350228,273.9312598,69,0.126811645,0.027933107,0.143546117,1.81424913,0.596259408
11,KBS0701,3,1.04975947,0.425249978,0.369343057,15.3045985,11,0.254451815,0.022180556,0.078741,2.972728123,0.350457195
12,KBS0701,4,1.244246343,0.428792655,0.402569057,17.19908653,11,0.344736246,0.026522925,0.085828079,3.452362183,0.454759537
13,KBS0701,5,0.131806932,0.27800289,1.739758933,234.8295089,58,0.142457625,0.036549186,0.16153666,1.7564958,0.735118943
14,KBS0701,6,0.118615221,0.288229409,1.382427962,211.6522287,59,0.087959448,0.025661213,0.127256011,1.322553502,0.420796338
15,KBS0702,1,10.55306186,0.531021706,0.886779452,138.4710956,51,2.643687629,0.032521397,0.087809958,19.00086826,2.865911857
16,KBS0702,2,8.636979885,0.484014298,0.818017014,130.2351236,51,2.339224694,0.030720301,0.081004865,18.37532346,2.725249307
17,KBS0702,3,7.185684539,0.412938198,0.773732447,119.9131918,49,2.727846394,0.035814258,0.078162284,21.92606829,3.464531188
18,KBS0702,5,11.75092841,0.511025281,0.827367285,126.4858488,49,3.276446692,0.036179075,0.083574778,22.59280186,3.506208176
19,KBS0702,4,8.678054258,0.433604295,0.889622224,136.1976036,50,3.284902521,0.039120418,0.088962773,23.43828236,3.928145064
20,KBS0702,6,12.50261902,0.542028937,0.867514676,131.1279984,49,3.056494216,0.034032072,0.087632134,21.77641933,3.186596281
21,KBS0703,1,3.095904369,0.340640962,0.714292176,116.4139383,51,1.352348397,0.028648934,0.070723953,17.1430013,2.384189974
22,KBS0703,2,204.7668673,0.983815887,0.902605093,140.2783976,51,31.84286616,0.116062964,0.089373032,206.2139072,22.13084935
23,KBS0703,3,5.86542863,0.36703054,0.579480566,91.58776,49,1.921308134,0.026385409,0.058533821,25.17664864,2.646020906
24,KBS0703,4,2.641287531,0.324309456,0.554024148,85.52655622,48,0.997149273,0.022980988,0.056543997,17.61694418,1.870817224
25,KBS0703,6,9.57779858,0.494935084,0.728062785,67.68418998,28,3.348164082,0.048873525,0.097301283,19.52243023,3.29614304
26,KBS0703,5,16.08386163,0.609374352,1.016536809,80.63970393,26,6.152873728,0.075893318,0.140960083,23.72271495,5.414015845
27,KBS0705,1,4.742933407,0.462629408,1.453843121,110.0032615,29,3.016246415,0.067911363,0.190895899,11.06663333,3.650223912
