,strain,rep,beta,alpha,std_dev,AIC,N.obs,beta.sd,alpha.sd,z.sd,mttf,mttf.sd
28,KBS0705,2,0.143012453,0.208737809,1.47482707,179.5154525,48,0.24309414,0.043445641,0.150529924,12.05643591,2.376792753
29,KBS0705,3,0.994434362,0.285733178,1.289391764,166.6234457,48,0.956756539,0.043567739,0.131587781,11.56327331,2.813980028
30,KBS0705,4,0.777819706,0.310854726,1.695738971,192.9137633,48,0.756907301,0.045994112,0.173080704,6.169041258,2.20878864
31,KBS0706,1,64.40242271,0.591957721,0.972353422,133.9667768,46,23.8945481,0.096099298,0.101368674,98.64027597,16.16678983
32,KBS0706,2,111.56632,0.755588993,1.046911243,140.7604969,46,34.31403671,0.129350375,0.109147172,132.0315523,23.01778969
33,KBS0706,3,78.8381985,0.590582254,0.81550378,117.7764898,46,24.71473846,0.088593006,0.08502565,121.12772,15.17691936
34,KBS0706,4,113.5570923,0.682821758,0.781061831,113.8105951,46,28.91539543,0.098570222,0.081429283,147.2813739,17.55947259
35,KBS0707,1,2.204494111,0.276444252,0.908301021,132.9852276,48,1.743738352,0.039770191,0.092702572,30.23310061,3.620003522
36,KBS0707,2,0.863713299,0.241044735,1.359282597,171.6899564,48,1.213164507,0.05290789,0.138722574,25.99170539,4.782461462
37,KBS0707,3,0.913921266,0.264327465,1.331841993,169.7275063,48,1.03723409,0.047144338,0.135931905,15.9073725,3.222310443
38,KBS0707,4,2.609345805,0.279468428,1.151925477,155.7890047,48,2.541292428,0.051002765,0.117580473,33.85992134,5.073332912
39,KBS0710,1,1.395397072,0.348517215,1.136087889,157.5645094,49,0.792064248,0.03290584,0.114754048,7.122201615,1.72607579
40,KBS0710,2,0.565255296,0.304271115,1.118404005,156.019921,49,0.376757247,0.029486599,0.112980219,4.916333526,1.218922832
41,KBS0710,3,3.318628826,0.428474247,1.110380649,158.3646219,50,1.222949423,0.030449568,0.111037265,9.224784966,1.820531292
42,KBS0710,4,2.791073116,0.43627909,1.179648058,164.4122248,50,1.008128571,0.029391921,0.117970543,7.428855323,1.513606846
43,KBS0711,1,0.033344653,0.239753119,1.096366476,226.5957729,73,0.023474504,0.017505026,0.090737309,1.038598296,0.247611193
44,KBS0711,2,0.252372227,0.273616426,0.871392249,193.0676264,73,0.128389297,0.018181699,0.072115893,3.650108692,0.610194387
45,KBS0711,3,0.026921061,0.221667646,0.898840533,197.6001464,73,0.018468313,0.015455274,0.074384011,1.43493322,0.265399579
46,KBS0711,4,1.466946913,0.441858574,0.551157852,29.05071588,14,0.617581418,0.043683447,0.104153522,3.790157955,0.747268169
47,KBS0711,11,303.2102638,0.807701368,0.643157042,125.2607933,61,39.33611431,0.149731259,0.05823086,341.2153866,25.97242936
48,KBS0711,10,546.2615769,2.038225142,0.799537441,135.0839985,54,42.7622111,0.573053936,0.076934881,483.9660433,36.4708998
49,KBS0711W,1,0.157721775,0.258507524,0.997804597,164.6703944,56,0.121706178,0.025095265,0.094289438,3.110555459,0.699870448
50,KBS0711W,2,0.643183763,0.328696398,1.403880112,202.9175903,56,0.456494081,0.035353507,0.132651352,4.070835084,1.21963502
51,KBS0711W,3,0.440418731,0.28219861,1.187979776,184.2113792,56,0.363982002,0.033577538,0.112256856,5.443937217,1.343040543
52,KBS0711W,4,0.394288449,0.263995087,1.218745302,187.0727994,56,0.3874604,0.036836626,0.115167344,6.910647202,1.591036347
53,KBS0712,1,1.260934459,0.316012871,1.137359259,151.4784164,47,0.982764856,0.040653291,0.11731052,9.336508764,2.4178092
54,KBS0712,2,0.122857478,0.218395992,0.891873808,131.2248875,48,0.126436414,0.027069032,0.091037687,7.306148926,1.044607738
55,KBS0712,3,0.337441538,0.251460764,0.916658229,131.2002781,47,0.289969184,0.029547928,0.094546092,7.820541821,1.389661508
56,KBS0712,4,0.009108286,0.157219973,1.015879583,143.7341504,48,0.018242003,0.029109998,0.103676964,13.00906874,4.235402617
57,KBS0713,3,0.014815723,0.179563372,1.16731507,163.3598935,50,0.023229766,0.027116403,0.116739545,4.829376516,0.747133566
58,KBS0713,4,0.014667907,0.194864351,1.01983825,149.8530765,50,0.016857437,0.021514765,0.101991751,2.20733067,0.42742973
59,KBS0713,1,0.017176313,0.193365184,0.940847564,139.0798231,49,0.020248714,0.022226517,0.095040956,2.769352939,0.480396928
60,KBS0713,2,0.109149131,0.240000815,0.849523278,129.0684732,49,0.082918645,0.021550342,0.085822258,3.377204877,0.650168215
61,KBS0714,1,15.70314562,0.895927081,1.551697024,95.19566958,24,5.171298054,0.121904191,0.22398316,16.56383869,4.22642862
62,KBS0714,2,17.3497351,0.920857987,1.494788072,93.40397147,24,5.317294308,0.121293733,0.215756309,18.03389609,4.31529345
63,KBS0714,3,13.55810638,0.842355528,1.505240127,93.73786839,24,4.682109498,0.113801332,0.217268798,14.83491954,3.863242595
64,KBS0714,4,15.89213694,0.905806887,1.565000157,95.60688687,24,5.206021911,0.123136646,0.225893167,16.66319793,4.255196581
65,KBS0715,1,0.000168733,0.144662175,1.036175341,209.6255385,70,NA,NA,NA,0.713501172,NA
66,KBS0715,2,0.000122112,0.14432486,1.022254191,207.7357259,70,NA,NA,NA,0.533359535,NA
67,KBS0715,3,5.74E-05,0.137914114,1.084956268,216.067129,70,NA,NA,NA,0.481991485,NA
68,KBS0715,4,0.000321861,0.153906877,1.018876137,207.2699214,70,0.000468521,0.015804525,0.086110289,0.599284241,0.107401155
69,KBS0721,1,0.812031533,0.318572309,0.982516789,193.7748412,67,0.421707255,0.025338846,0.084876002,5.817418662,1.163638324
70,KBS0721,2,0.084174344,0.242401606,1.260596193,227.164583,67,0.081143566,0.026764686,0.108905681,2.444296987,0.670019787
71,KBS0721,3,0.0115126,0.209373395,1.260292729,227.1356694,67,0.013198655,0.022465189,0.108875384,0.947318126,0.285767953
72,KBS0721,4,0.171264891,0.26511724,1.349607676,236.3141494,67,0.15314936,0.029481489,0.116586626,2.93246892,0.854464422
73,KBS0722,1,6.972009079,0.373203906,0.940677171,136.3437823,48,3.888980594,0.047112346,0.096012579,28.39220995,5.037865477
74,KBS0722,2,1.770280995,0.266951115,0.96665322,138.9645081,48,1.609618026,0.042538951,0.098655097,29.19276392,3.710941429
75,KBS0722,3,2.927642474,0.302276493,1.036705876,145.6815158,48,2.386129327,0.047080354,0.105803749,26.21252077,4.209806683
76,KBS0722,4,2.204152224,0.301725245,1.192146794,155.9019183,47,2.077764291,0.051472765,0.12295926,19.89536008,4.219953026
77,KBS0724,1,8.957035175,0.489957355,1.040240464,143.0834044,47,2.93533356,0.038078871,0.107301681,18.61085712,3.374538368
78,KBS0724,2,8.177836566,0.473974737,0.897517816,129.2197995,47,2.509351829,0.033843028,0.092567354,18.14255717,2.973064949
79,KBS0724,3,12.45382948,0.541552768,0.888018527,128.2166489,47,3.129007245,0.034805464,0.091591946,21.72172058,3.272499608
80,KBS0724,4,7.055304685,0.473931378,1.028968226,142.0637469,47,2.41160966,0.036459387,0.106131314,15.65513316,2.934915207
81,KBS0725,1,12.14186789,0.674024199,1.34841899,164.0422147,46,3.300467953,0.049956426,0.140586861,15.95696015,3.12775225
82,KBS0725,2,18.49319632,0.761454161,1.307004103,167.9260158,48,4.120743794,0.051527609,0.1333849,21.74984434,3.681841352
83,KBS0725,3,14.0594774,0.723898988,1.443101575,173.8541034,47,3.608651822,0.052180929,0.148856008,17.25508262,3.331223548
84,KBS0725,4,12.78780166,0.709803799,1.522931576,182.5992852,48,3.446508495,0.052489888,0.155433506,15.97688202,3.219338393
85,KBS0727,1,1.0900098,0.37096503,1.159323109,115.6736725,35,0.745584554,0.045036721,0.138567297,4.523157637,1.389056385
86,KBS0727,2,6.429291317,0.549059775,1.534406739,164.8530406,43,2.810149042,0.056788783,0.165447912,10.97438214,3.057091133
87,KBS0727,3,15.28036324,0.700132202,1.553086178,206.7948689,54,4.827104159,0.063933745,0.149439247,19.33876085,4.436964566
88,KBS0727,4,11.74082726,0.651917901,1.475486025,157.863991,42,3.723766235,0.055664267,0.160993873,15.9889512,3.57869204
89,KBS0801,1,29.78910355,0.570577045,0.737163208,104.0314803,44,7.366178279,0.045912136,0.078581683,48.01423602,6.453949139
90,KBS0801,2,25.276367,0.556695269,0.714669096,101.3056173,44,6.180008309,0.042149495,0.076182212,42.24466361,5.614544595
91,KBS0801,3,25.79263939,0.552683275,0.913459414,122.9056596,44,8.289713664,0.055387136,0.097367623,43.58328071,7.483949419
92,KBS0801,4,63.81087389,0.693004535,1.027800876,130.3911152,43,18.36988451,0.084471451,0.110822585,81.55887349,14.0787477
93,KBS0802,1,5.396100151,0.421948262,1.627906655,257.6300855,66,2.964913093,0.049392557,0.141679387,15.58062421,4.066398287
94,KBS0802,2,4.533491504,0.403696629,1.752620673,267.3639185,66,2.875325123,0.052710537,0.152550865,14.69193797,4.210686193
95,KBS0802,3,6.674040444,0.43959634,1.648658228,259.2999931,66,3.519854853,0.051622598,0.143488876,17.45059319,4.510312491
96,KBS0802,4,6.03774566,0.432936047,1.770448539,264.7184655,65,3.531796639,0.055128304,0.155285462,16.36750318,4.664643632
97,KBS0812,1,371965.029,0.143802989,0.326389599,46.10622106,67,8.83E-10,0.015677664,0.028194704,1708795262,2603286668
98,KBS0812,2,26548.17446,0.603337246,0.324409883,45.28616635,67,6.72E-07,0.114237422,0.028025195,39657.65965,9677.345016
99,KBS0812,3,24238.51561,0.529577392,0.373588001,64.20578872,67,5.48E-07,0.096035843,0.032271407,43838.5609,13175.48778
100,KBS0812,4,14042242752,0.098279557,0.413164896,77.62313375,67,6.48E-15,0.016087412,0.035720376,7.70235E+16,3.03819E+17
