	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY
2192.H01a.Hand.109.lane2.NoIndex.L002	86632.0	958	14506.0	23	0.0	0
2192.H02a.Bedroom.Floor.700.lane2.NoIndex.L002	104432.0	1901	13534.0	25	237.0	2
2192.H07a.Kitchen.Light.Switch.3723.lane2.NoIndex.L002	113894.0	584	1498.0	15	4.0	1
2192.H01a.Bedroom.Floor.196.lane2.NoIndex.L002	64167.0	962	1461.0	21	264.0	2
2192.H06b.Kitchen.Counter.3193.lane2.NoIndex.L002	95526.0	2323	17364.0	27	32.0	2
2192.H02a.Kitchen.Floor.890.lane2.NoIndex.L002	50837.0	825	2870.0	14	8.0	1
2192.H01a.Foot.230.lane2.NoIndex.L002	78732.0	1054	11690.0	22	0.0	0
2192.H04a.Bathroom.Door.Knob.2094.lane2.NoIndex.L002	106013.0	386	9021.0	12	0.0	0
2192.H02a.Bathroom.Door.Knob.702.lane2.NoIndex.L002	96652.0	843	7892.0	16	21.0	1
2192.H02a.Kitchen.Light.Switch.651.lane2.NoIndex.L002	58429.0	371	17640.0	16	2.0	1
2192.H02a.Foot.704.lane2.NoIndex.L002	85723.0	1849	26361.0	26	3.0	3
2192.H07a.Bedroom.Floor.3676.lane2.NoIndex.L002	87920.0	1138	10273.0	20	212.0	2
2192.H02a.Foot.608.lane2.NoIndex.L002	90467.0	983	4411.0	16	0.0	0
2192.H01a.Kitchen.Floor.194.lane2.NoIndex.L002	62513.0	2827	4434.0	35	2922.0	2
2192.H07a.Bathroom.Door.Knob.3726.lane2.NoIndex.L002	101102.0	410	19040.0	16	0.0	0
2192.H02a.Bedroom.Floor.604.lane2.NoIndex.L002	70807.0	781	2165.0	14	9.0	2
2192.H01a.Bathroom.Door.Knob.294.lane2.NoIndex.L002	56951.0	746	4207.0	14	4.0	2
2192.H01a.Kitchen.Light.Switch.171.lane2.NoIndex.L002	71223.0	513	10941.0	21	0.0	0
2192.H01a.Foot.329.lane2.NoIndex.L002	85092.0	1726	25715.0	27	11.0	1
2192.H05b.Bathroom.Door.Knob.2454.lane2.NoIndex.L002	112825.0	354	19639.0	14	0.0	0
2192.H07b.Kitchen.Light.Switch.3867.lane2.NoIndex.L002	97075.0	541	11676.0	16	0.0	0
2192.H02a.Bathroom.Door.Knob.894.lane2.NoIndex.L002	71828.0	435	12346.0	18	0.0	0
2192.H02a.Kitchen.Counter.769.lane2.NoIndex.L002	85052.0	1681	9931.0	27	170.0	3
2192.H01a.Foot.272.lane2.NoIndex.L002	79023.0	963	11804.0	19	0.0	0
2192.H04a.Front.Door.Knob.2093.lane2.NoIndex.L002	101749.0	1095	8790.0	15	0.0	0
2192.H01a.Hand.277.lane2.NoIndex.L002	86522.0	1094	6377.0	17	0.0	0
2192.H02a.Bedroom.Floor.892.lane2.NoIndex.L002	69113.0	1129	13536.0	18	16.0	1
2192.H02a.Kitchen.Light.Switch.819.lane2.NoIndex.L002	60911.0	1609	5740.0	16	3.0	1
2192.H06b.Bathroom.Door.Knob.3222.lane2.NoIndex.L002	104771.0	736	19332.0	16	8.0	2
2192.H02a.Bedroom.Floor.676.lane2.NoIndex.L002	62791.0	1360	2022.0	17	10.0	1
2192.H02a.Front.Door.Knob.605.lane2.NoIndex.L002	53352.0	1270	27566.0	21	14.0	4
2192.H06b.Bedroom.Floor.3220.lane2.NoIndex.L002	118215.0	1669	28819.0	27	27.0	1
2192.H02a.Bathroom.Door.Knob.606.lane2.NoIndex.L002	58192.0	335	207.0	5	1.0	1
2192.H07b.Bathroom.Door.Knob.3990.lane2.NoIndex.L002	83841.0	596	10248.0	16	0.0	0
2192.H05b.Kitchen.Floor.2426.lane2.NoIndex.L002	104905.0	1007	7792.0	15	7.0	1
2192.H01a.Hand.112.lane2.NoIndex.L002	79638.0	543	4049.0	14	0.0	0
2192.H02a.Kitchen.Counter.601.lane2.NoIndex.L002	66176.0	1211	4598.0	18	8.0	3
2192.H01a.Front.Door.Knob.269.lane2.NoIndex.L002	65249.0	1061	16802.0	21	31.0	1
2192.H02a.Kitchen.Counter.889.lane2.NoIndex.L002	68275.0	1281	18985.0	26	43.0	2
2192.H02a.Hand.631.lane2.NoIndex.L002	84848.0	1155	14487.0	20	0.0	0
2192.H02a.Front.Door.Knob.893.lane2.NoIndex.L002	56514.0	1028	26331.0	20	33.0	1
2192.H07b.Bedroom.Floor.3844.lane2.NoIndex.L002	123048.0	2221	4985.0	17	19.0	2
2192.H01a.Bathroom.Door.Knob.318.lane2.NoIndex.L002	62832.0	460	4201.0	10	0.0	0
2192.H07a.Bathroom.Door.Knob.3654.lane2.NoIndex.L002	100460.0	1597	6083.0	24	130.0	5
2192.H01a.Foot.131.lane2.NoIndex.L002	77761.0	1683	15685.0	23	16.0	2
2192.H01a.Foot.134.lane2.NoIndex.L002	87718.0	1164	24441.0	25	1.0	1
2192.H07b.Bedroom.Floor.4060.lane2.NoIndex.L002	129321.0	1233	9310.0	24	10.0	2
2192.H01a.Foot.299.lane2.NoIndex.L002	81169.0	1040	19766.0	22	5.0	1
2192.H01a.Kitchen.Light.Switch.243.lane2.NoIndex.L002	48244.0	297	10318.0	14	0.0	0
2192.H02a.Bathroom.Door.Knob.654.lane2.NoIndex.L002	63386.0	341	1965.0	9	0.0	0
2192.H01a.Hand.202.lane2.NoIndex.L002	74687.0	628	1752.0	12	0.0	0
2192.H02a.Foot.776.lane2.NoIndex.L002	82859.0	1086	39913.0	26	0.0	0
2192.H01a.Hand.271.lane2.NoIndex.L002	89405.0	1193	9660.0	17	3.0	1
2192.H07b.Front.Door.Knob.3965.lane2.NoIndex.L002	75638.0	746	63717.0	16	5.0	1
2192.H01a.Hand.274.lane2.NoIndex.L002	77711.0	1221	12207.0	23	6.0	2
2192.H02a.Bathroom.Door.Knob.630.lane2.NoIndex.L002	50500.0	638	4090.0	13	12.0	1
2192.H02a.Hand.655.lane2.NoIndex.L002	72111.0	739	3640.0	11	0.0	0
2192.H06b.Front.Door.Knob.3221.lane2.NoIndex.L002	99192.0	617	57627.0	19	1.0	1
2192.H01a.Hand.181.lane2.NoIndex.L002	92678.0	1123	2952.0	19	17.0	1
2192.H02a.Bathroom.Door.Knob.774.lane2.NoIndex.L002	93271.0	520	9953.0	16	0.0	0
2192.H07b.Kitchen.Light.Switch.4083.lane2.NoIndex.L002	87540.0	327	5084.0	10	0.0	0
2192.H07b.Kitchen.Light.Switch.3843.lane2.NoIndex.L002	97530.0	870	26803.0	23	1.0	1
2192.H01a.Foot.185.lane2.NoIndex.L002	76627.0	1190	12899.0	30	12.0	1
2192.H05b.Kitchen.Light.Switch.2427.lane2.NoIndex.L002	87248.0	306	18542.0	16	0.0	0
2192.H01a.Hand.184.lane2.NoIndex.L002	79236.0	1300	5454.0	26	21.0	1
2192.H02a.Bedroom.Floor.820.lane2.NoIndex.L002	58451.0	1251	6667.0	23	71.0	1
2192.H02a.Hand.775.lane2.NoIndex.L002	107677.0	1480	15755.0	27	4.0	2
2192.H02a.Kitchen.Light.Switch.771.lane2.NoIndex.L002	68672.0	764	5577.0	17	11.0	1
2192.H01a.Foot.326.lane2.NoIndex.L002	79027.0	1423	14945.0	25	2.0	1
2192.H01a.Foot.281.lane2.NoIndex.L002	70346.0	991	9820.0	27	2.0	1
2192.H07b.Bathroom.Door.Knob.3942.lane2.NoIndex.L002	69420.0	1665	3165.0	14	75.0	7
2192.H02a.Front.Door.Knob.845.lane2.NoIndex.L002	70815.0	2674	7392.0	25	300.0	4
2192.H02a.Kitchen.Light.Switch.627.lane2.NoIndex.L002	56498.0	1094	7007.0	13	0.0	0
2192.H01a.Hand.160.lane2.NoIndex.L002	68271.0	270	55937.0	18	0.0	0
2192.H01a.Front.Door.Knob.293.lane2.NoIndex.L002	58702.0	814	3017.0	12	2.0	1
2192.H01a.Hand.205.lane2.NoIndex.L002	90515.0	769	2929.0	14	0.0	0
2192.H07b.Front.Door.Knob.3989.lane2.NoIndex.L002	74683.0	805	21935.0	17	0.0	0
2192.H01a.Hand.304.lane2.NoIndex.L002	94066.0	1183	9597.0	20	7.0	2
2192.H01a.Hand.232.lane2.NoIndex.L002	64995.0	1143	26155.0	26	7.0	2
2192.H01a.Foot.158.lane2.NoIndex.L002	88743.0	1221	7361.0	21	0.0	0
2192.H06b.Front.Door.Knob.3245.lane2.NoIndex.L002	85342.0	1084	20289.0	25	3.0	1
2192.H02a.Kitchen.Light.Switch.915.lane2.NoIndex.L002	46689.0	396	1798.0	8	0.0	0
2192.H04a.Dog.Nose.2013.lane5.NoIndex.L005	64370.0	731	5363.0	18	0.0	0
2192.H03a.Hand.1207.lane5.NoIndex.L005	52596.0	804	2236.0	15	2.0	1
2192.H05b.Foot.2672.lane5.NoIndex.L005	65250.0	1251	15328.0	23	2.0	1
2192.H06b.Bathroom.Door.Knob.3342.lane5.NoIndex.L005	56795.0	705	7708.0	16	2.0	2
2192.H05b.Bathroom.Door.Knob.2742.lane5.NoIndex.L005	90526.0	625	10339.0	16	16.0	2
2192.H05b.Nose.2484.lane5.NoIndex.L005	93181.0	1376	15017.0	25	0.0	0
2192.H05b.Kitchen.Light.Switch.2691.lane5.NoIndex.L005	46577.0	621	15185.0	20	6.0	2
2192.H03a.Hand.1237.lane5.NoIndex.L005	72269.0	1035	8255.0	22	1.0	1
2192.H07a.Front.Door.Knob.3629.lane5.NoIndex.L005	51804.0	1225	21528.0	23	46.0	1
2192.H06a.Foot.3008.lane5.NoIndex.L005	75134.0	1498	16185.0	21	12.0	2
2192.H05b.Kitchen.Floor.2618.lane5.NoIndex.L005	78864.0	633	49304.0	22	2.0	2
2192.H05b.Kitchen.Light.Switch.2499.lane5.NoIndex.L005	61593.0	537	6823.0	12	8.0	1
2192.H05b.Kitchen.Light.Switch.2619.lane5.NoIndex.L005	67812.0	397	38684.0	18	0.0	0
2192.H05b.Nose.2625.lane5.NoIndex.L005	72542.0	1024	11728.0	27	1.0	1
2192.H02a.Hand.919.lane5.NoIndex.L005	72004.0	1154	16074.0	21	3.0	1
2192.H03a.Hand.1255.lane5.NoIndex.L005	68165.0	1058	5600.0	22	0.0	0
2192.H06b.Front.Door.Knob.3125.lane5.NoIndex.L005	56185.0	982	14639.0	23	0.0	0
2192.H05b.Hand.2983.lane5.NoIndex.L005	68460.0	1628	7679.0	21	29.0	2
2192.H06a.Foot.3038.lane5.NoIndex.L005	66761.0	830	4793.0	13	0.0	0
2192.H06a.Foot.3011.lane5.NoIndex.L005	79639.0	722	14006.0	19	2.0	1
2192.H05b.Foot.2768.lane5.NoIndex.L005	70610.0	645	21290.0	20	0.0	0
2192.H05b.Kitchen.Light.Switch.2571.lane5.NoIndex.L005	65979.0	634	11136.0	17	1.0	1
2192.H07a.Bedroom.Floor.3628.lane5.NoIndex.L005	63451.0	1011	24209.0	28	0.0	0
2192.H07a.Bathroom.Door.Knob.3630.lane5.NoIndex.L005	58782.0	788	24145.0	21	14.0	2
2192.H06b.Kitchen.Light.Switch.3315.lane5.NoIndex.L005	53341.0	818	18035.0	23	1.0	1
2192.H05b.Nose.2892.lane5.NoIndex.L005	66133.0	640	6070.0	15	0.0	0
2192.H05b.Nose.2937.lane5.NoIndex.L005	64434.0	1103	40944.0	27	5.0	3
2192.H04a.Kitchen.Light.Switch.1851.lane5.NoIndex.L005	75158.0	543	9088.0	13	0.0	0
2192.H02a.Foot.896.lane5.NoIndex.L005	52748.0	947	2451.0	13	0.0	0
2192.H03a.Bathroom.Door.Knob.1302.lane5.NoIndex.L005	97449.0	2323	14856.0	20	3.0	3
2192.H05b.Nose.2916.lane5.NoIndex.L005	88464.0	662	10791.0	20	1.0	1
2192.H06b.Kitchen.Floor.3122.lane5.NoIndex.L005	68927.0	2113	11188.0	23	107.0	7
2192.H05b.Nose.2940.lane5.NoIndex.L005	67114.0	445	2960.0	13	0.0	0
2192.H04a.Kitchen.Light.Switch.1827.lane5.NoIndex.L005	97974.0	401	26563.0	15	0.0	0
2192.H05b.Nose.2577.lane5.NoIndex.L005	78888.0	999	9633.0	18	2.0	1
2192.H04a.Dog.Foot.2012.lane5.NoIndex.L005	62954.0	937	1029.0	13	48.0	2
2192.H05b.Foot.2912.lane5.NoIndex.L005	59027.0	1372	17231.0	24	37.0	3
2192.H03a.Kitchen.Light.Switch.1467.lane5.NoIndex.L005	59564.0	560	5122.0	16	6.0	1
2192.H05b.Nose.2769.lane5.NoIndex.L005	69932.0	711	8443.0	16	0.0	0
2192.H05b.Bathroom.Door.Knob.2622.lane5.NoIndex.L005	76469.0	851	11221.0	16	68.0	3
2192.H03a.Bathroom.Door.Knob.1518.lane5.NoIndex.L005	103377.0	276	29041.0	18	0.0	0
2192.H05b.Bathroom.Door.Knob.2526.lane5.NoIndex.L005	59830.0	591	14463.0	19	1.0	1
2192.H05b.Kitchen.Counter.2713.lane5.NoIndex.L005	82792.0	1069	30843.0	21	34.0	3
2192.H03a.Kitchen.Counter.1465.lane5.NoIndex.L005	64954.0	1088	5707.0	20	43.0	2
2192.H05b.Foot.2936.lane5.NoIndex.L005	67528.0	855	9426.0	19	3.0	2
2192.H05b.Nose.2481.lane5.NoIndex.L005	92658.0	1052	11368.0	24	10.0	1
2192.H06b.Kitchen.Floor.3314.lane5.NoIndex.L005	51741.0	951	7739.0	23	1.0	1
2192.H06b.Foot.3110.lane5.NoIndex.L005	75859.0	2040	9867.0	23	20.0	5
2192.H05b.Bedroom.Floor.2668.lane5.NoIndex.L005	76957.0	620	20669.0	23	0.0	0
2192.H05b.Kitchen.Counter.2497.lane5.NoIndex.L005	56680.0	860	6031.0	15	1.0	1
2192.H05b.Kitchen.Floor.2666.lane5.NoIndex.L005	75752.0	525	41494.0	21	13.0	1
2192.H04a.Bathroom.Door.Knob.1854.lane5.NoIndex.L005	104914.0	300	27075.0	15	0.0	0
2192.H05b.Nose.2796.lane5.NoIndex.L005	83103.0	469	6279.0	17	2.0	1
2192.H04a.Nose.2073.lane5.NoIndex.L005	86731.0	2287	10539.0	25	17.0	4
2192.H06a.Hand.3037.lane5.NoIndex.L005	68958.0	1342	3850.0	18	3.0	1
2192.H05b.Bathroom.Door.Knob.2646.lane5.NoIndex.L005	69500.0	712	7312.0	13	31.0	1
2192.H05b.Foot.2723.lane5.NoIndex.L005	72468.0	692	1602.0	12	84.0	1
2192.H05b.Nose.2745.lane5.NoIndex.L005	70703.0	1096	6702.0	17	0.0	0
2192.H06b.Foot.3179.lane5.NoIndex.L005	81632.0	1416	10132.0	24	1.0	1
2192.H03a.Kitchen.Counter.1417.lane5.NoIndex.L005	66107.0	1682	6258.0	20	18.0	4
2192.H06b.Front.Door.Knob.3149.lane5.NoIndex.L005	54168.0	1191	19585.0	25	25.0	3
2192.H05b.Nose.2532.lane5.NoIndex.L005	84009.0	744	39040.0	27	6.0	1
2192.H06b.Foot.3152.lane5.NoIndex.L005	52453.0	1747	4431.0	19	33.0	2
2192.H06b.Foot.3128.lane5.NoIndex.L005	71251.0	763	9306.0	18	1.0	1
2192.H05b.Nose.2772.lane5.NoIndex.L005	41995.0	667	3663.0	14	0.0	0
2192.H06b.Bedroom.Floor.3148.lane5.NoIndex.L005	65474.0	1016	13878.0	24	9.0	2
2192.H05b.Kitchen.Floor.2738.lane5.NoIndex.L005	84894.0	509	58074.0	26	3.0	1
2192.H05b.Nose.2913.lane5.NoIndex.L005	77125.0	744	8551.0	21	0.0	0
2192.H05b.Nose.2748.lane5.NoIndex.L005	64562.0	637	7495.0	12	0.0	0
2192.H05b.Front.Door.Knob.2669.lane5.NoIndex.L005	66734.0	461	34104.0	19	19.0	1
2192.H06b.Kitchen.Counter.3145.lane5.NoIndex.L005	56221.0	1116	2933.0	17	0.0	0
2192.H03a.Hand.1231.lane5.NoIndex.L005	63531.0	1033	9049.0	21	8.0	1
2192.H02a.Foot.848.lane5.NoIndex.L005	70464.0	1519	17822.0	26	6.0	1
2192.H06b.Foot.3059.lane5.NoIndex.L005	69332.0	1148	8798.0	22	26.0	1
2192.H05b.Nose.2604.lane5.NoIndex.L005	81781.0	725	3553.0	13	0.0	0
2192.H04a.Nose.2052.lane5.NoIndex.L005	86333.0	1067	7844.0	20	0.0	0
2192.H06b.Front.Door.Knob.3365.lane5.NoIndex.L005	66595.0	1382	7169.0	25	31.0	3
2192.H05b.Foot.2867.lane5.NoIndex.L005	76831.0	3158	2165.0	16	38.0	5
2192.H05b.Foot.2864.lane5.NoIndex.L005	77998.0	2690	881.0	19	47.0	5
2192.H05b.Kitchen.Counter.2617.lane5.NoIndex.L005	72880.0	503	19590.0	14	1.0	1
2192.H04a.Dog.Nose.1992.lane6.NoIndex.L006	84599.0	1101	1364.0	21	135.0	3
2192.H06b.Nose.3231.lane6.NoIndex.L006	74497.0	864	19055.0	20	3.0	2
2192.H03a.Nose.1428.lane6.NoIndex.L006	78636.0	932	7200.0	17	6.0	1
2192.H03a.Foot.1427.lane6.NoIndex.L006	97833.0	675	14242.0	17	6.0	1
2192.H05b.Hand.2599.lane6.NoIndex.L006	83293.0	737	19308.0	20	6.0	2
2192.H04a.Foot.2003.lane6.NoIndex.L006	87969.0	783	7920.0	21	26.0	1
2192.H03a.Hand.1495.lane6.NoIndex.L006	76817.0	1254	9986.0	22	13.0	2
2192.H04a.Foot.1811.lane6.NoIndex.L006	77367.0	749	13697.0	21	10.0	2
2192.H07a.Foot.3752.lane6.NoIndex.L006	77941.0	1289	2364.0	14	17.0	1
2192.H03a.Hand.1378.lane6.NoIndex.L006	85520.0	2587	3654.0	20	19.0	3
2192.H04a.Dog.Nose.1824.lane6.NoIndex.L006	67352.0	1284	6076.0	23	40.0	4
2192.H07b.Bedroom.Floor.4132.lane6.NoIndex.L006	65521.0	2002	27360.0	21	6.0	4
2192.H04a.Dog.Foot.2057.lane6.NoIndex.L006	76878.0	788	21371.0	24	36.0	4
2192.H07b.Bathroom.Door.Knob.4134.lane6.NoIndex.L006	25691.0	460	16554.0	18	0.0	0
2192.H04a.Bathroom.Door.Knob.1926.lane6.NoIndex.L006	73293.0	332	12599.0	14	0.0	0
2192.H03a.Nose.1503.lane6.NoIndex.L006	66339.0	330	11032.0	15	0.0	0
2192.H04a.Nose.1911.lane6.NoIndex.L006	78011.0	513	10058.0	15	7.0	2
2192.H04a.Dog.Foot.1841.lane6.NoIndex.L006	81271.0	660	18125.0	22	4.0	2
2192.H03a.Foot.1403.lane6.NoIndex.L006	67019.0	894	1635.0	14	10.0	1
2192.H06b.Nose.3156.lane6.NoIndex.L006	80331.0	510	5502.0	14	0.0	0
2192.H03a.Foot.1475.lane6.NoIndex.L006	75122.0	1240	32616.0	24	16.0	3
2192.H07b.Hand.4186.lane6.NoIndex.L006	66876.0	900	6348.0	23	8.0	1
2192.H05b.Hand.2407.lane6.NoIndex.L006	75268.0	985	2384.0	22	485.0	1
2192.H06b.Nose.3135.lane6.NoIndex.L006	75145.0	733	23625.0	22	0.0	0
2192.H03a.Nose.1239.lane6.NoIndex.L006	57526.0	2140	3055.0	19	32.0	4
2192.H03a.Hand.1405.lane6.NoIndex.L006	78094.0	2058	7417.0	23	496.0	5
2192.H03a.Foot.1307.lane6.NoIndex.L006	85844.0	547	12540.0	17	5.0	1
2192.H04a.Hand.1861.lane6.NoIndex.L006	81906.0	1240	3395.0	27	15.0	3
2192.H07b.Foot.3875.lane6.NoIndex.L006	78080.0	669	11732.0	16	0.0	0
2192.H06b.Nose.3228.lane6.NoIndex.L006	67241.0	771	7657.0	22	1.0	1
2192.H06b.Foot.3278.lane6.NoIndex.L006	85073.0	724	5092.0	17	5.0	2
2192.H03a.Foot.1496.lane6.NoIndex.L006	67770.0	1247	1368.0	20	17.0	1
2192.H04a.Hand.1930.lane6.NoIndex.L006	75902.0	1385	6148.0	19	61.0	3
2192.H04a.Dog.Nose.2088.lane6.NoIndex.L006	91111.0	1977	8820.0	20	246.0	4
2192.H04a.Dog.Foot.2084.lane6.NoIndex.L006	68238.0	1331	2950.0	20	129.0	2
2192.H04a.Dog.Foot.1919.lane6.NoIndex.L006	82024.0	986	4077.0	16	889.0	1
2192.H07a.Foot.3776.lane6.NoIndex.L006	84499.0	766	6756.0	17	0.0	0
2192.H04a.Dog.Foot.1964.lane6.NoIndex.L006	78699.0	778	16009.0	20	4.0	2
2192.H06b.Nose.3327.lane6.NoIndex.L006	60406.0	883	8512.0	13	0.0	0
2192.H04a.Foot.2072.lane6.NoIndex.L006	87797.0	1941	7413.0	25	287.0	4
2192.H04a.Dog.Nose.1893.lane6.NoIndex.L006	83573.0	1060	23173.0	19	8.0	2
2192.H03a.Hand.1399.lane6.NoIndex.L006	81035.0	1045	7147.0	21	44.0	3
2192.H05b.Kitchen.Light.Switch.2811.lane6.NoIndex.L006	51772.0	420	36496.0	19	5.0	2
2192.H03a.Foot.1478.lane6.NoIndex.L006	79158.0	2529	1589.0	19	266.0	5
2192.H04a.Hand.1903.lane6.NoIndex.L006	53835.0	575	11665.0	19	6.0	1
2192.H04a.Front.Door.Knob.1925.lane6.NoIndex.L006	76424.0	870	31770.0	21	3.0	1
2192.H04a.Dog.Foot.1991.lane6.NoIndex.L006	82947.0	842	23845.0	26	17.0	2
2192.H04a.Kitchen.Counter.1897.lane6.NoIndex.L006	69050.0	741	6780.0	14	2.0	1
2192.H07b.Hand.4162.lane6.NoIndex.L006	79239.0	1424	14436.0	23	1.0	1
2192.H05b.Hand.2503.lane6.NoIndex.L006	73592.0	1199	2070.0	16	75.0	2
2192.H05b.Hand.2530.lane6.NoIndex.L006	64730.0	1580	2378.0	16	56.0	3
2192.H04a.Hand.1807.lane6.NoIndex.L006	79268.0	1147	39266.0	27	14.0	2
2192.H05b.Foot.2555.lane6.NoIndex.L006	77897.0	1432	3647.0	18	8.0	3
2192.H07a.Nose.3729.lane6.NoIndex.L006	66720.0	781	14513.0	18	2.0	2
2192.H07b.Kitchen.Floor.4154.lane6.NoIndex.L006	52612.0	1611	15632.0	23	22.0	4
2192.H04a.Foot.1982.lane6.NoIndex.L006	89720.0	1535	4759.0	20	170.0	3
2192.H07b.Front.Door.Knob.4133.lane6.NoIndex.L006	77788.0	566	68413.0	22	6.0	2
2192.H07b.Foot.4115.lane6.NoIndex.L006	664332.0	1492	306321.0	30	52.0	3
2192.H07b.Foot.4160.lane6.NoIndex.L006	83652.0	566	7556.0	16	0.0	0
2192.H06b.Foot.3254.lane6.NoIndex.L006	78279.0	1044	6042.0	19	23.0	1
2192.H03a.Foot.1472.lane6.NoIndex.L006	69884.0	1616	18974.0	29	15.0	2
2192.H04a.Dog.Nose.1842.lane6.NoIndex.L006	73895.0	1424	3129.0	21	18.0	1
2192.H03a.Nose.1305.lane6.NoIndex.L006	46195.0	897	10615.0	21	7.0	3
2192.H04a.Foot.1931.lane6.NoIndex.L006	86226.0	851	24276.0	21	13.0	1
2192.H06b.Foot.3344.lane6.NoIndex.L006	86519.0	652	18710.0	21	0.0	0
2192.H01a.Nose.60.lane6.NoIndex.L006	71618.0	926	7655.0	15	2.0	1
2192.H07a.Nose.3681.lane6.NoIndex.L006	76478.0	885	11322.0	18	0.0	0
2192.H04a.Dog.Nose.2085.lane6.NoIndex.L006	72411.0	451	25448.0	19	2.0	2
2192.H03a.Hand.1519.lane6.NoIndex.L006	69207.0	981	6654.0	18	21.0	1
2192.H07a.Foot.3635.lane6.NoIndex.L006	82687.0	661	13045.0	22	0.0	0
2192.H03a.Nose.1449.lane6.NoIndex.L006	92614.0	2481	46818.0	28	2.0	2
2192.H04a.Foot.1958.lane6.NoIndex.L006	74097.0	728	22039.0	21	0.0	0
2192.H05b.Front.Door.Knob.2765.lane6.NoIndex.L006	64540.0	825	11833.0	20	42.0	1
2192.H04a.Foot.1856.lane6.NoIndex.L006	77921.0	1690	3477.0	22	32.0	4
2192.H04a.Foot.1907.lane6.NoIndex.L006	68856.0	683	5850.0	20	0.0	0
2192.H03a.Hand.1423.lane6.NoIndex.L006	93924.0	1298	53521.0	25	0.0	0
2192.H05b.Hand.2575.lane6.NoIndex.L006	49787.0	2320	1730.0	26	60.0	2
2192.H03a.Hand.1471.lane6.NoIndex.L006	86130.0	688	754.0	14	27.0	1
2192.H04a.Hand.1954.lane6.NoIndex.L006	69752.0	716	3841.0	21	21.0	1
2192.H02a.Nose.849.lane6.NoIndex.L006	86682.0	676	3946.0	15	7.0	1
2192.H06b.Nose.3324.lane6.NoIndex.L006	69367.0	768	14110.0	18	0.0	0
2192.H04a.Kitchen.Light.Switch.1899.lane6.NoIndex.L006	80857.0	253	30770.0	16	0.0	0
2192.H04a.Hand.1957.lane6.NoIndex.L006	65707.0	1177	1111.0	11	111.0	1
2192.H05b.Foot.2459.lane6.NoIndex.L006	78836.0	867	4087.0	28	1633.0	3
2192.H03a.Nose.1335.lane6.NoIndex.L006	62832.0	738	2479.0	11	3.0	2
2192.H04a.Dog.Nose.1941.lane6.NoIndex.L006	79318.0	1076	2434.0	17	7.0	2
2192.H04a.Hand.1879.lane6.NoIndex.L006	78044.0	927	3533.0	16	1.0	1
2192.H07a.Cat.Fur.3686.lane6.NoIndex.L006	85553.0	641	8764.0	19	0.0	0
2192.H03a.Hand.1525.lane6.NoIndex.L006	79448.0	1035	3160.0	22	111.0	1
2192.H02a.Nose.777.lane6.NoIndex.L006	86798.0	1412	2668.0	19	11.0	1
2192.H04a.Hand.1810.lane6.NoIndex.L006	86886.0	2041	1170.0	13	225.0	4
2192.H04a.Dog.Nose.1869.lane6.NoIndex.L006	59758.0	613	9650.0	19	8.0	2
2192.H03a.Foot.1451.lane6.NoIndex.L006	67596.0	1064	4395.0	17	26.0	3
2192.H06b.Nose.3225.lane6.NoIndex.L006	73085.0	635	2830.0	13	0.0	0
2192.H06b.Nose.3252.lane6.NoIndex.L006	74885.0	570	2588.0	12	7.0	1
2192.H06b.Nose.3249.lane6.NoIndex.L006	72580.0	361	63618.0	20	0.0	0
2192.H04a.Dog.Nose.1962.lane6.NoIndex.L006	88515.0	2239	4448.0	21	248.0	8
2192.H07b.Foot.4184.lane6.NoIndex.L006	155147.0	1139	21988.0	25	131.0	2
2192.H05b.Hand.2554.lane6.NoIndex.L006	73648.0	845	3898.0	19	925.0	2
2192.H07b.Kitchen.Counter.4153.lane6.NoIndex.L006	54836.0	1216	3787.0	23	34.0	3
2192.H07b.Bathroom.Door.Knob.4158.lane6.NoIndex.L006	68428.0	520	11236.0	16	0.0	0
2192.H07b.Foot.4139.lane6.NoIndex.L006	78804.0	913	10115.0	21	4.0	2
2192.H06a.Nose.3015.lane6.NoIndex.L006	81118.0	1200	8466.0	26	0.0	0
2192.H03a.Hand.1279.lane6.NoIndex.L006	129776.0	1742	1740.0	20	34.0	2
2192.H04a.Dog.Nose.1821.lane6.NoIndex.L006	74035.0	1136	6326.0	20	27.0	1
2192.H06b.Nose.3321.lane6.NoIndex.L006	75847.0	776	6050.0	17	0.0	0
2192.H04a.Dog.Nose.1914.lane6.NoIndex.L006	58695.0	1425	2338.0	20	75.0	2
2192.H04a.Hand.2002.lane6.NoIndex.L006	78412.0	1465	3088.0	17	86.0	3
2192.H07b.Cat.Fur.3974.lane6.NoIndex.L006	70649.0	774	12361.0	19	0.0	0
2192.H05b.Hand.2551.lane6.NoIndex.L006	60008.0	2342	3847.0	30	96.0	6
2192.H07a.Nose.3753.lane6.NoIndex.L006	71869.0	777	16921.0	19	1.0	1
2192.H03a.Nose.1452.lane6.NoIndex.L006	93633.0	2000	55040.0	29	1.0	1
2192.H04a.Hand.1837.lane6.NoIndex.L006	87234.0	1091	1807.0	14	1.0	1
2192.H04a.Dog.Foot.1895.lane6.NoIndex.L006	88705.0	1333	1738.0	20	122.0	5
2192.H07b.Foot.4016.lane6.NoIndex.L006	75867.0	1656	28524.0	19	13.0	6
