	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY
10346.SH23SED	44888.0	3371	61.0	2	3.0	2
10346.SWPRD2	70845.0	1274	3.0	2	1.0	1
10346.SWBHSS2	66597.0	1006	2.0	1	0.0	0
10346.IF5.Wnh	36671.0	1787	2.0	1	0.0	0
10346.AW10.3.II	55030.0	1504	15.0	3	0.0	0
10346.TW11.3.I	53616.0	2062	11.0	5	0.0	0
10346.TW10.11.III	58625.0	2665	8.0	3	1.0	1
10346.ZA.53	61631.0	1385	1.0	1	11.0	4
10346.ALG12.111	7799.0	995	16.0	1	0.0	0
10346.BR10A.Nov	70136.0	2100	6.0	3	0.0	0
10346.11.VIII.05.1.009	30903.0	368	1.0	1	0.0	0
10346.TW10.3.II	62043.0	2026	17.0	2	0.0	0
10346.BCH21SED	66132.0	4699	0.0	0	7.0	3
10346.SWPRBV1	68848.0	1252	6.0	3	0.0	0
10346.SI06.67	77032.0	978	2.0	2	1.0	1
10346.TV10.8.2	64262.0	498	2.0	2	0.0	0
10346.AW10.10.II	35819.0	1787	34.0	8	1.0	1
10346.TW10.12.I	53772.0	2439	6.0	2	1.0	1
10346.TW10.3.III	60771.0	1956	16.0	1	0.0	0
10346.HBOI38.17.VIII.09.1.003	41931.0	686	5.0	1	0.0	0
10346.GC.3.4	56266.0	530	3.0	1	0.0	0
10346.HBOI.3.6.VIII.09.1.003	22277.0	1214	1.0	1	0.0	0
10346.SD23SED	64832.0	3933	0.0	0	1.0	1
10346.SWPRBV2	44066.0	1062	3.0	1	0.0	0
10346.CL303	21238.0	386	1.0	1	0.0	0
10346.SI06.27	13143.0	736	5.0	4	0.0	0
10346.BCH3H2O	63328.0	977	4.0	1	0.0	0
10346.TW11.2.I	47441.0	2237	5.0	1	0.0	0
10346.100	29427.0	755	0.0	0	1.0	1
10346.TW10.6.I	39169.0	1186	6.0	1	0.0	0
10346.SS.27.2	26080.0	1480	5.0	1	0.0	0
10346.SD12SED	50414.0	3666	1.0	1	0.0	0
10346.TW10.8.III	45055.0	1806	52.0	5	2.0	2
10346.AW11.5.III	19998.0	880	9.0	1	0.0	0
10346.SWSA.3	48228.0	2546	29.0	7	0.0	0
10346.SI06.93	32571.0	651	30.0	3	0.0	0
10346.IF2.7	53246.0	378	1.0	1	0.0	0
10346.TV10.11.2	55742.0	467	4.0	3	0.0	0
10346.AF10.10.15	66605.0	431	136.0	3	0.0	0
10346.AW10.7.II	30464.0	951	2.0	2	0.0	0
10346.P12x59	153502.0	487	1.0	1	1.0	1
10346.TO10.10.19	66224.0	485	66.0	2	0.0	0
10346.P12x110	45645.0	410	2.0	1	0.0	0
10346.SWSA.2	45795.0	2300	17.0	5	1.0	1
10346.SS.26.3	27346.0	354	1.0	1	0.0	0
10346.SWBHSS3	67957.0	1037	1.0	1	0.0	0
10346.SWBHMPV2	54841.0	1009	7.0	3	0.0	0
10346.AW10.12.I	42572.0	1786	7.0	3	0.0	0
10346.TO11.3.22	29246.0	496	2.0	2	0.0	0
10346.SI06.94	41354.0	755	71.0	2	5.0	1
10346.SW.26	35203.0	692	0.0	0	1.0	1
10346.SWMX1.1	42674.0	918	0.0	0	1.0	1
10346.28.IX.88.3.001	53282.0	305	0.0	0	4.0	3
10346.TW10.11.I	34612.0	2261	6.0	3	1.0	1
10346.IF5.Wctr	28283.0	1472	3.0	1	0.0	0
10346.AW10.8.II	34989.0	1174	54.0	3	1.0	1
10346.AW11.6.III	34491.0	1356	7.0	3	1.0	1
10346.AW10.12.II	13030.0	1118	5.0	3	0.0	0
10346.AW10.8.III	46340.0	1285	11.0	3	2.0	1
10346.AW11.4.I	453.0	191	2.0	2	0.0	0
10346.BCH1H2O	62478.0	1175	2.0	1	0.0	0
10346.SWBHMPV1	68380.0	1031	5.0	2	0.0	0
