	N	N_genus
10156.39	110899.0	4.0
10156.4C3	127706.0	2.0
10156.T2.3	159584.0	1.0
10156.4B5	199018.0	21.0
10156.33	189008.0	67.0
10156.55	320263.0	29.0
10156.44	148112.0	80.0
10156.NW3.A	102052.0	1.0
10156.2S2	125066.0	21.0
10156.2T2	153508.0	66.0
10156.1S4	128213.0	76.0
10156.3	90493.0	7.0
10156.4B1	83020.0	3.0
10156.3B2	90055.0	15.0
10156.2S3	87179.0	11.0
10156.17	122657.0	5.0
10156.3S3	71393.0	14.0
10156.56	144012.0	76.0
10156.15	114304.0	9.0
10156.3T1	116037.0	11.0
10156.3B5	120668.0	22.0
10156.3B4	80033.0	37.0
10156.T2.2	40313.0	1.0
10156.4T2	137266.0	2.0
10156.2C1	111095.0	21.0
10156.2B4	256860.0	409.0
10156.28	90348.0	2.0
10156.2S4	165914.0	51.0
10156.2C5	166686.0	54.0
10156.3T4	96879.0	6.0
10156.2S1	85277.0	38.0
10156.2C4	209890.0	45.0
10156.BCWL3.3	101251.0	2.0
10156.3T2	100565.0	12.0
10156.BCWL3.2	99494.0	2.0
10156.BCWL5.2	104467.0	1.0
10156.BCWL1.1	74942.0	4.0
10156.2S5	146438.0	29.0
10156.22	105853.0	4.0
10156.NW5.A	142386.0	13.0
10156.45	108913.0	3.0
10156.21	80700.0	2.0
10156.1C4	20099.0	5.0
10156.T6.2	126712.0	2.0
10156.BCWL2.3	56018.0	6.0
10156.54	172718.0	2.0
10156.BCWL5.3	163492.0	1.0
10156.52	144740.0	42.0
10156.14	6280.0	2.0
10156.2T4	93442.0	10.0
10156.1S1	130705.0	47.0
2192.H03a.Nose.1383.lane6.NoIndex.L006	15511.0	4.0
2192.H06b.Kitchen.Counter.3193.lane2.NoIndex.L002	95526.0	230.0
2192.H01a.Hand.184.lane2.NoIndex.L002	79236.0	75.0
2192.H02a.Bedroom.Floor.604.lane2.NoIndex.L002	70807.0	1.0
2192.H05b.Kitchen.Counter.2545.lane5.NoIndex.L005	75625.0	5.0
2192.H05b.Foot.2411.lane6.NoIndex.L006	83347.0	11.0
2192.H04a.Dog.Foot.2012.lane5.NoIndex.L005	62954.0	11.0
2192.H07b.Kitchen.Counter.3961.lane2.NoIndex.L002	83987.0	148.0
2192.H04a.Nose.1911.lane6.NoIndex.L006	78011.0	1.0
2192.H05b.Bedroom.Floor.2524.lane5.NoIndex.L005	58521.0	9.0
2192.H03a.Foot.1352.lane6.NoIndex.L006	79899.0	353.0
2192.H03a.Hand.1231.lane5.NoIndex.L005	63531.0	8.0
2192.H02a.Bathroom.Door.Knob.774.lane2.NoIndex.L002	93271.0	7.0
2192.H03a.Foot.1478.lane6.NoIndex.L006	79158.0	315.0
2192.H04a.Dog.Nose.1920.lane6.NoIndex.L006	82886.0	60.0
2192.H01a.Bathroom.Door.Knob.54.lane1.NoIndex.L001	59207.0	1.0
2192.H03a.Foot.1526.lane6.NoIndex.L006	76150.0	12.0
2192.H05b.Front.Door.Knob.2429.lane2.NoIndex.L002	109150.0	52.0
2192.H01a.Bedroom.Floor.76.lane1.NoIndex.L001	138229.0	170.0
2192.H01a.Bathroom.Door.Knob.246.lane2.NoIndex.L002	38590.0	2.0
2192.H03a.Kitchen.Counter.1369.lane5.NoIndex.L005	93531.0	54.0
2192.H05b.Kitchen.Counter.2737.lane5.NoIndex.L005	78958.0	6.0
2192.H01a.Front.Door.Knob.29.lane1.NoIndex.L001	75582.0	91.0
2192.H05b.Foot.2891.lane5.NoIndex.L005	58032.0	12.0
2192.H05b.Kitchen.Floor.2858.lane1.NoIndex.L001	58766.0	21.0
2192.H06b.Hand.3277.lane6.NoIndex.L006	78229.0	117.0
2192.H03a.Hand.1501.lane6.NoIndex.L006	72601.0	52.0
2192.H03a.Hand.1234.lane5.NoIndex.L005	64072.0	28.0
2192.H07b.Hand.4111.lane6.NoIndex.L006	65916.0	33.0
2192.H06b.Bedroom.Floor.3148.lane5.NoIndex.L005	65474.0	8.0
2192.H05b.Kitchen.Counter.2593.lane5.NoIndex.L005	84252.0	37.0
2192.H04a.Foot.2072.lane6.NoIndex.L006	87797.0	213.0
2192.H05b.Hand.2962.lane5.NoIndex.L005	68008.0	38.0
2192.H05b.Hand.2575.lane6.NoIndex.L006	49787.0	32.0
2192.H05b.Bathroom.Door.Knob.2958.lane1.NoIndex.L001	59194.0	4.0
2192.H03a.Bedroom.Floor.1420.lane5.NoIndex.L005	96790.0	61.0
2192.H05b.Foot.2552.lane6.NoIndex.L006	53612.0	30.0
2192.H07a.Cat.Fur.3782.lane6.NoIndex.L006	76240.0	40.0
2192.H04a.Dog.Nose.1896.lane6.NoIndex.L006	58209.0	74.0
2192.H05b.Hand.2554.lane6.NoIndex.L006	73648.0	12.0
2192.H05b.Kitchen.Floor.2666.lane5.NoIndex.L005	75752.0	30.0
2192.H04a.Bathroom.Door.Knob.2046.lane2.NoIndex.L002	81565.0	12.0
2192.H01a.Kitchen.Counter.289.lane2.NoIndex.L002	60696.0	13.0
2192.H04a.Foot.2078.lane6.NoIndex.L006	70091.0	55.0
2192.H01a.Front.Door.Knob.77.lane1.NoIndex.L001	115984.0	65.0
2192.H04a.Nose.2079.lane5.NoIndex.L005	90456.0	8.0
2192.H06b.Hand.3226.lane6.NoIndex.L006	65791.0	49.0
2192.H04a.Dog.Foot.1919.lane6.NoIndex.L006	82024.0	3.0
2192.H04a.Hand.1837.lane6.NoIndex.L006	87234.0	21.0
2192.H01a.Nose.63.lane6.NoIndex.L006	92971.0	397.0
2192.H04a.Nose.1809.lane6.NoIndex.L006	63414.0	4.0
2192.H04a.Foot.2075.lane6.NoIndex.L006	83311.0	55.0
2192.H06b.Bedroom.Floor.3124.lane5.NoIndex.L005	63110.0	6.0
2192.H01a.Foot.230.lane2.NoIndex.L002	78732.0	6.0
2192.H03a.Nose.1236.lane6.NoIndex.L006	61815.0	130.0
2192.H03a.Kitchen.Counter.1513.lane5.NoIndex.L005	113173.0	87.0
2192.H05b.Kitchen.Floor.2594.lane5.NoIndex.L005	93080.0	28.0
2192.H05b.Hand.2479.lane6.NoIndex.L006	61397.0	72.0
2192.H05b.Foot.2648.lane5.NoIndex.L005	55486.0	35.0
2192.H07a.Bathroom.Door.Knob.3750.lane2.NoIndex.L002	89474.0	15.0
2192.H07a.Nose.3660.lane6.NoIndex.L006	80229.0	109.0
2192.H05b.Foot.2987.lane5.NoIndex.L005	66212.0	65.0
2192.H01a.Bedroom.Floor.28.lane1.NoIndex.L001	84213.0	20.0
2192.H03a.Front.Door.Knob.1229.lane5.NoIndex.L005	110674.0	164.0
2192.H04a.Dog.Nose.1962.lane6.NoIndex.L006	88515.0	98.0
2192.H03a.Nose.1212.lane6.NoIndex.L006	83423.0	305.0
2192.H04a.Hand.1957.lane6.NoIndex.L006	65707.0	53.0
2192.H01a.Hand.10.lane1.NoIndex.L001	113060.0	6.0
2192.H02a.Kitchen.Counter.889.lane2.NoIndex.L002	68275.0	12.0
2192.H01a.Kitchen.Floor.122.lane1.NoIndex.L001	112510.0	74.0
2192.H05b.Foot.2504.lane6.NoIndex.L006	69545.0	5.0
2192.H01a.Bathroom.Door.Knob.102.lane1.NoIndex.L001	102548.0	12.0
2192.H01a.Kitchen.Counter.217.lane2.NoIndex.L002	56538.0	43.0
2192.H06a.Foot.3014.lane5.NoIndex.L005	61633.0	75.0
2192.H05b.Hand.2551.lane6.NoIndex.L006	60008.0	30.0
2192.H03a.Kitchen.Floor.1490.lane5.NoIndex.L005	62817.0	84.0
2192.H07a.Foot.3755.lane6.NoIndex.L006	74050.0	34.0
2192.H02a.Kitchen.Counter.673.lane2.NoIndex.L002	70527.0	20.0
2192.H06b.Foot.3056.lane5.NoIndex.L005	63374.0	14.0
2192.H05b.Hand.2914.lane5.NoIndex.L005	61031.0	6.0
2192.H07b.Bathroom.Door.Knob.4038.lane2.NoIndex.L002	97742.0	57.0
2192.H06b.Nose.3276.lane6.NoIndex.L006	71408.0	5.0
2192.H03a.Front.Door.Knob.1277.lane5.NoIndex.L005	79520.0	62.0
2192.H05b.Bedroom.Floor.2932.lane1.NoIndex.L001	78872.0	4.0
2192.H07b.Front.Door.Knob.3965.lane2.NoIndex.L002	75638.0	9.0
2192.H04a.Foot.2003.lane6.NoIndex.L006	87969.0	2.0
2192.H03a.Kitchen.Light.Switch.1275.lane5.NoIndex.L005	94793.0	8.0
2192.H06b.Hand.3301.lane6.NoIndex.L006	60984.0	32.0
2192.H03a.Nose.1332.lane6.NoIndex.L006	58008.0	131.0
2192.H06b.Foot.3227.lane6.NoIndex.L006	63041.0	3.0
2192.H04a.Dog.Foot.2108.lane6.NoIndex.L006	75295.0	27.0
2192.H03a.Foot.1400.lane6.NoIndex.L006	72279.0	353.0
2192.H01a.Hand.298.lane2.NoIndex.L002	81143.0	8.0
2192.H03a.Hand.1381.lane6.NoIndex.L006	81850.0	274.0
2192.H05b.Front.Door.Knob.2909.lane1.NoIndex.L001	70515.0	10.0
2192.H06a.Foot.3032.lane5.NoIndex.L005	71730.0	141.0
2192.H02a.Kitchen.Floor.650.lane2.NoIndex.L002	53355.0	96.0
2192.H02a.Kitchen.Light.Switch.915.lane2.NoIndex.L002	46689.0	2.0
2192.H01a.Foot.104.lane2.NoIndex.L002	90715.0	35.0
2192.H03a.Foot.1379.lane6.NoIndex.L006	89584.0	14.0
2192.H01a.Kitchen.Floor.26.lane1.NoIndex.L001	76395.0	87.0
2192.H04a.Kitchen.Light.Switch.1875.lane6.NoIndex.L006	76593.0	62.0
2192.H07b.Kitchen.Floor.4178.lane6.NoIndex.L006	47208.0	4.0
2192.H06b.Foot.3179.lane5.NoIndex.L005	81632.0	5.0
2192.H05b.Front.Door.Knob.2501.lane5.NoIndex.L005	56192.0	45.0
2192.H06b.Hand.3085.lane5.NoIndex.L005	44601.0	17.0
2192.H01a.Nose.225.lane6.NoIndex.L006	51333.0	2.0
2192.H07a.Hand.3775.lane6.NoIndex.L006	74632.0	48.0
2192.H04a.Dog.Nose.1845.lane6.NoIndex.L006	70394.0	19.0
2192.H01a.Kitchen.Counter.145.lane1.NoIndex.L001	89004.0	20.0
2192.H01a.Hand.109.lane2.NoIndex.L002	86632.0	6.0
2192.H05b.Foot.2624.lane5.NoIndex.L005	66334.0	19.0
2192.H01a.Nose.42.lane6.NoIndex.L006	79179.0	417.0
2192.H03a.Front.Door.Knob.1349.lane5.NoIndex.L005	102734.0	95.0
2192.H05b.Bathroom.Door.Knob.2718.lane5.NoIndex.L005	79482.0	12.0
2192.H05b.Hand.2458.lane6.NoIndex.L006	64665.0	12.0
2192.H01a.Foot.281.lane2.NoIndex.L002	70346.0	1.0
2192.H04a.Hand.2047.lane5.NoIndex.L005	61041.0	22.0
2192.H06b.Hand.3202.lane6.NoIndex.L006	63530.0	26.0
2192.H04a.Dog.Foot.1991.lane6.NoIndex.L006	82947.0	14.0
2192.H01a.Kitchen.Floor.98.lane1.NoIndex.L001	97721.0	370.0
2192.H01a.Foot.254.lane2.NoIndex.L002	61968.0	32.0
