	N	N_genus
2192.H04a.Foot.1835.lane6.NoIndex.L006	80727.0	280.0
2192.H07b.Hand.3991.lane6.NoIndex.L006	88563.0	1.0
2192.H06a.Foot.3011.lane5.NoIndex.L005	79639.0	1.0
2192.H06b.Front.Door.Knob.3101.lane1.NoIndex.L001	73854.0	8.0
2192.H03a.Hand.1207.lane5.NoIndex.L005	52596.0	1.0
2192.H07a.Hand.3634.lane6.NoIndex.L006	81814.0	54.0
2192.H05b.Bathroom.Door.Knob.2454.lane2.NoIndex.L002	112825.0	1.0
2192.H07a.Kitchen.Counter.3625.lane5.NoIndex.L005	63008.0	5.0
2192.H07b.Hand.3847.lane6.NoIndex.L006	69965.0	28.0
2192.H06b.Kitchen.Counter.3097.lane1.NoIndex.L001	66871.0	2.0
2192.H06b.Kitchen.Light.Switch.3195.lane2.NoIndex.L002	74138.0	20.0
2192.H07b.Hand.4090.lane6.NoIndex.L006	60948.0	15.0
2192.H05b.Front.Door.Knob.2573.lane5.NoIndex.L005	92718.0	36.0
2192.H05b.Foot.2936.lane5.NoIndex.L005	67528.0	1.0
2192.H06b.Nose.3129.lane6.NoIndex.L006	70367.0	133.0
2192.H01a.Kitchen.Counter.265.lane2.NoIndex.L002	76147.0	3.0
2192.H05b.Hand.2530.lane6.NoIndex.L006	64730.0	223.0
2192.H06b.Front.Door.Knob.3053.lane1.NoIndex.L001	74883.0	58.0
2192.H07a.Cat.Paw.3781.lane6.NoIndex.L006	81075.0	1.0
2192.H05b.Kitchen.Counter.2881.lane1.NoIndex.L001	73575.0	17.0
2192.H03a.Hand.1519.lane6.NoIndex.L006	69207.0	93.0
2192.H01a.Nose.159.lane6.NoIndex.L006	57395.0	23.0
2192.H02a.Kitchen.Floor.626.lane2.NoIndex.L002	60375.0	125.0
2192.H04a.Nose.1908.lane6.NoIndex.L006	86628.0	111.0
2192.H01a.Nose.12.lane6.NoIndex.L006	75824.0	52.0
2192.H06b.Hand.3343.lane6.NoIndex.L006	79254.0	13.0
2192.H01a.Nose.210.lane6.NoIndex.L006	42589.0	165.0
2192.H04a.Kitchen.Light.Switch.1851.lane5.NoIndex.L005	75158.0	29.0
2192.H07b.Foot.4163.lane6.NoIndex.L006	81504.0	5.0
2192.H01a.Front.Door.Knob.101.lane1.NoIndex.L001	120400.0	233.0
2192.H05b.Front.Door.Knob.2693.lane5.NoIndex.L005	86297.0	81.0
2192.H03a.Foot.1382.lane6.NoIndex.L006	91171.0	36.0
2192.H03a.Front.Door.Knob.1301.lane5.NoIndex.L005	93638.0	211.0
2192.H03a.Front.Door.Knob.1469.lane5.NoIndex.L005	73886.0	14.0
2192.H05b.Kitchen.Light.Switch.2499.lane5.NoIndex.L005	61593.0	1.0
2192.H02a.Nose.633.lane6.NoIndex.L006	69791.0	177.0
2192.H07b.Bathroom.Door.Knob.4014.lane2.NoIndex.L002	62303.0	64.0
2192.H01a.Nose.279.lane6.NoIndex.L006	84183.0	15.0
2192.H06b.Bathroom.Door.Knob.3366.lane5.NoIndex.L005	60931.0	14.0
2192.H03a.Hand.1525.lane6.NoIndex.L006	79448.0	23.0
2192.H06b.Hand.3157.lane5.NoIndex.L005	64565.0	18.0
2192.H04a.Hand.2050.lane5.NoIndex.L005	61088.0	86.0
2192.H02a.Bedroom.Floor.724.lane2.NoIndex.L002	107972.0	61.0
2192.H03a.Kitchen.Counter.1321.lane5.NoIndex.L005	89387.0	44.0
2192.H02a.Front.Door.Knob.605.lane2.NoIndex.L002	53352.0	14.0
2192.H06b.Front.Door.Knob.3173.lane2.NoIndex.L002	101461.0	99.0
2192.H03a.Nose.1476.lane6.NoIndex.L006	77882.0	91.0
2192.H04a.Dog.Nose.2061.lane6.NoIndex.L006	78466.0	2.0
2192.H04a.Hand.2101.lane6.NoIndex.L006	81085.0	23.0
2192.H04a.Bedroom.Floor.1852.lane5.NoIndex.L005	87600.0	11.0
2192.H05b.Kitchen.Light.Switch.2475.lane5.NoIndex.L005	43959.0	28.0
2192.H05b.Front.Door.Knob.2741.lane5.NoIndex.L005	70330.0	5.0
2192.H06a.Kitchen.Counter.3025.lane1.NoIndex.L001	64066.0	10.0
2192.H07b.Hand.3850.lane6.NoIndex.L006	63526.0	24.0
2192.H03a.Foot.1376.lane6.NoIndex.L006	78639.0	175.0
2192.H04a.Dog.Foot.1913.lane6.NoIndex.L006	58699.0	25.0
2192.H05b.Bathroom.Door.Knob.2694.lane5.NoIndex.L005	88682.0	28.0
2192.H03a.Kitchen.Light.Switch.1251.lane5.NoIndex.L005	120770.0	27.0
2192.H07a.Kitchen.Light.Switch.3675.lane2.NoIndex.L002	113714.0	5.0
2192.H01a.Foot.209.lane2.NoIndex.L002	65048.0	2.0
2192.H06b.Nose.3303.lane6.NoIndex.L006	66754.0	17.0
2192.H05b.Foot.2408.lane6.NoIndex.L006	85439.0	80.0
2192.H05b.Hand.2506.lane6.NoIndex.L006	79891.0	55.0
2192.H04a.Dog.Foot.2009.lane6.NoIndex.L006	81999.0	4.0
2192.H01a.Bathroom.Door.Knob.150.lane1.NoIndex.L001	93261.0	7.0
2192.H02a.Nose.753.lane6.NoIndex.L006	81312.0	92.0
2192.H01a.Foot.326.lane2.NoIndex.L002	79027.0	53.0
2192.H04a.Kitchen.Counter.2041.lane2.NoIndex.L002	123000.0	32.0
2192.H03a.Nose.1479.lane6.NoIndex.L006	85688.0	4.0
2192.H07b.Nose.3873.lane1.NoIndex.L001	67060.0	24.0
2192.H02a.Hand.799.lane2.NoIndex.L002	79719.0	2.0
2192.H06b.Foot.3200.lane6.NoIndex.L006	61687.0	24.0
2192.H05b.Nose.2577.lane5.NoIndex.L005	78888.0	7.0
2192.H01a.Foot.113.lane2.NoIndex.L002	85068.0	1.0
2192.H01a.Foot.296.lane2.NoIndex.L002	76720.0	9.0
2192.H02a.Nose.801.lane6.NoIndex.L006	85580.0	25.0
2192.H07b.Nose.4116.lane1.NoIndex.L001	129286.0	5.0
2192.H04a.Dog.Nose.1869.lane6.NoIndex.L006	59758.0	1.0
2192.H04a.Kitchen.Counter.2089.lane2.NoIndex.L002	112825.0	350.0
2192.H01a.Hand.319.lane2.NoIndex.L002	90459.0	2.0
2192.H03a.Front.Door.Knob.1517.lane5.NoIndex.L005	78768.0	293.0
2192.H03a.Kitchen.Light.Switch.1419.lane5.NoIndex.L005	111983.0	18.0
2192.H02a.Hand.919.lane5.NoIndex.L005	72004.0	5.0
2192.H06b.Foot.3086.lane5.NoIndex.L005	46516.0	38.0
2192.H03a.Kitchen.Floor.1298.lane5.NoIndex.L005	111951.0	119.0
2192.H04a.Dog.Nose.1872.lane6.NoIndex.L006	71684.0	137.0
2192.H05b.Front.Door.Knob.2549.lane5.NoIndex.L005	51867.0	13.0
2192.H02a.Front.Door.Knob.845.lane2.NoIndex.L002	70815.0	80.0
2192.H01a.Nose.36.lane6.NoIndex.L006	82636.0	36.0
2192.H05b.Nose.2745.lane5.NoIndex.L005	70703.0	29.0
2192.H01a.Hand.277.lane2.NoIndex.L002	86522.0	8.0
2192.H07b.Nose.4137.lane1.NoIndex.L001	115009.0	12.0
2192.H03a.Bathroom.Door.Knob.1326.lane5.NoIndex.L005	91549.0	14.0
2192.H07a.Front.Door.Knob.3653.lane2.NoIndex.L002	102501.0	200.0
2192.H06b.Hand.3274.lane6.NoIndex.L006	78996.0	1.0
2192.H03a.Kitchen.Light.Switch.1443.lane5.NoIndex.L005	61852.0	34.0
2192.H04a.Nose.2007.lane5.NoIndex.L005	103811.0	32.0
2192.H07a.Nose.3732.lane6.NoIndex.L006	72404.0	5.0
2192.H01a.Hand.301.lane2.NoIndex.L002	67276.0	3.0
2192.H06b.Foot.3302.lane6.NoIndex.L006	67348.0	24.0
2192.H06b.Hand.3205.lane6.NoIndex.L006	66773.0	9.0
2192.H01a.Hand.88.lane2.NoIndex.L002	98985.0	2.0
2192.H05b.Hand.2407.lane6.NoIndex.L006	75268.0	6.0
2192.H04a.Nose.1833.lane6.NoIndex.L006	86082.0	1.0
2192.H03a.Foot.1331.lane6.NoIndex.L006	86274.0	476.0
2192.H01a.Foot.32.lane1.NoIndex.L001	92535.0	24.0
2192.H07b.Hand.4066.lane6.NoIndex.L006	94268.0	1.0
2192.H05b.Front.Door.Knob.2405.lane2.NoIndex.L002	87977.0	3.0
2192.H01a.Hand.82.lane1.NoIndex.L001	125625.0	4.0
2192.H03a.Nose.1428.lane6.NoIndex.L006	78636.0	32.0
2192.H01a.Front.Door.Knob.173.lane2.NoIndex.L002	66364.0	46.0
2192.H03a.Hand.1474.lane6.NoIndex.L006	74566.0	111.0
2192.H07a.Bathroom.Door.Knob.3630.lane5.NoIndex.L005	58782.0	7.0
2192.H01a.Foot.302.lane2.NoIndex.L002	72832.0	5.0
2192.H03a.Foot.1280.lane6.NoIndex.L006	85348.0	61.0
2192.H06b.Nose.3228.lane6.NoIndex.L006	67241.0	1.0
2192.H07b.Kitchen.Floor.3986.lane2.NoIndex.L002	78520.0	109.0
2192.H07a.Kitchen.Floor.3770.lane2.NoIndex.L002	96766.0	139.0
2192.H05b.Foot.2459.lane6.NoIndex.L006	78836.0	11.0
2192.H07b.Kitchen.Counter.4105.lane2.NoIndex.L002	101803.0	1.0
2192.H01a.Kitchen.Light.Switch.291.lane2.NoIndex.L002	58620.0	10.0
2192.H02a.Nose.657.lane6.NoIndex.L006	75723.0	86.0
2192.H06b.Hand.3079.lane5.NoIndex.L005	60297.0	55.0
2192.H01a.Kitchen.Counter.121.lane1.NoIndex.L001	105425.0	2.0
2192.H01a.Nose.273.lane6.NoIndex.L006	62228.0	255.0
2192.H05b.Front.Door.Knob.2861.lane1.NoIndex.L001	69532.0	15.0
2192.H07b.Nose.3996.lane1.NoIndex.L001	95064.0	1.0
2192.H01a.Nose.252.lane6.NoIndex.L006	78723.0	70.0
2192.H05b.Hand.2890.lane5.NoIndex.L005	37011.0	61.0
2192.H05b.Bathroom.Door.Knob.2406.lane2.NoIndex.L002	107699.0	33.0
2192.H03a.Foot.1262.lane6.NoIndex.L006	65988.0	29.0
2192.H07b.Cat.Paw.4069.lane6.NoIndex.L006	73463.0	16.0
2192.H05a.Bathroom.Door.Knob.5005.lane6.NoIndex.L006	77775.0	722.0
2192.H07b.Bathroom.Door.Knob.4062.lane2.NoIndex.L002	107408.0	2.0
2192.H01a.Hand.229.lane2.NoIndex.L002	68797.0	42.0
2192.H03a.Bedroom.Floor.1324.lane5.NoIndex.L005	99722.0	13.0
2192.H04a.Dog.Nose.2085.lane6.NoIndex.L006	72411.0	1.0
2192.H02a.Front.Door.Knob.917.lane2.NoIndex.L002	96648.0	69.0
2192.H07b.Kitchen.Floor.3938.lane2.NoIndex.L002	78569.0	455.0
2192.H05b.Kitchen.Counter.2425.lane2.NoIndex.L002	100617.0	47.0
2192.H05b.Foot.2792.lane5.NoIndex.L005	54568.0	107.0
2192.H05b.Kitchen.Counter.2569.lane5.NoIndex.L005	64337.0	24.0
2192.H02a.Kitchen.Light.Switch.699.lane2.NoIndex.L002	91988.0	34.0
2192.H04a.Kitchen.Counter.1897.lane6.NoIndex.L006	69050.0	13.0
2192.H01a.Hand.226.lane2.NoIndex.L002	67536.0	19.0
2192.H01a.Foot.128.lane2.NoIndex.L002	64746.0	3.0
2192.H02a.Foot.896.lane5.NoIndex.L005	52748.0	2.0
2192.H07b.Nose.4185.lane1.NoIndex.L001	121693.0	11.0
2192.H04a.Dog.Foot.2060.lane6.NoIndex.L006	61929.0	110.0
2192.H05b.Bedroom.Floor.2596.lane5.NoIndex.L005	67746.0	33.0
2192.H04a.Kitchen.Floor.2066.lane2.NoIndex.L002	109285.0	314.0
2192.H04a.Nose.2052.lane5.NoIndex.L005	86333.0	76.0
2192.H04a.Nose.2073.lane5.NoIndex.L005	86731.0	38.0
2192.H05b.Bedroom.Floor.2548.lane5.NoIndex.L005	57420.0	92.0
2192.H07b.Nose.4089.lane1.NoIndex.L001	83695.0	13.0
2192.H05b.Hand.2695.lane5.NoIndex.L005	64765.0	105.0
2192.H06b.Kitchen.Floor.3170.lane5.NoIndex.L005	57395.0	1.0
2192.H07a.Cat.Paw.3733.lane6.NoIndex.L006	74481.0	11.0
2192.H05b.Nose.2556.lane5.NoIndex.L005	63739.0	51.0
2192.H01a.Nose.180.lane6.NoIndex.L006	43009.0	1.0
2192.H01a.Kitchen.Light.Switch.75.lane1.NoIndex.L001	115356.0	87.0
2192.H01a.Front.Door.Knob.5.lane1.NoIndex.L001	91355.0	51.0
2192.H06b.Nose.3255.lane6.NoIndex.L006	66217.0	29.0
2192.H05b.Kitchen.Light.Switch.2715.lane5.NoIndex.L005	76763.0	20.0
2192.H05b.Kitchen.Floor.2402.lane2.NoIndex.L002	88408.0	104.0
2192.H04a.Foot.2006.lane6.NoIndex.L006	99897.0	126.0
2192.H07b.Hand.3943.lane6.NoIndex.L006	73973.0	6.0
2192.H06b.Bedroom.Floor.3340.lane5.NoIndex.L005	55841.0	2.0
2192.H07b.Kitchen.Floor.4106.lane2.NoIndex.L002	103397.0	178.0
2192.H01a.Hand.202.lane2.NoIndex.L002	74687.0	3.0
2192.H04a.Hand.1858.lane6.NoIndex.L006	75403.0	27.0
2192.H05b.Bedroom.Floor.2860.lane1.NoIndex.L001	80938.0	25.0
2192.H05b.Nose.2748.lane5.NoIndex.L005	64562.0	20.0
2192.H06a.Hand.3013.lane5.NoIndex.L005	67376.0	112.0
2192.H04a.Bedroom.Floor.1900.lane6.NoIndex.L006	85831.0	7.0
2192.H03a.Bedroom.Floor.1252.lane5.NoIndex.L005	107268.0	14.0
2192.H06b.Nose.3180.lane6.NoIndex.L006	69538.0	2.0
2192.H05b.Kitchen.Counter.2665.lane5.NoIndex.L005	79612.0	4.0
2192.H02a.Foot.680.lane2.NoIndex.L002	74099.0	3.0
2192.H05b.Bedroom.Floor.2764.lane6.NoIndex.L006	66522.0	48.0
2192.H05b.Kitchen.Floor.2690.lane5.NoIndex.L005	72950.0	3.0
2192.H05b.Foot.2528.lane6.NoIndex.L006	74751.0	3.0
2192.H06b.Foot.3107.lane5.NoIndex.L005	53675.0	18.0
2192.H07b.Kitchen.Counter.4177.lane6.NoIndex.L006	43448.0	64.0
2192.H05b.Bathroom.Door.Knob.2814.lane6.NoIndex.L006	59283.0	19.0
2192.H03a.Hand.1426.lane6.NoIndex.L006	103716.0	317.0
2192.H07b.Hand.3994.lane6.NoIndex.L006	81432.0	7.0
2192.H05b.Foot.2531.lane6.NoIndex.L006	52377.0	4.0
2192.H01a.Foot.62.lane1.NoIndex.L001	86308.0	11.0
2192.H07b.Foot.4184.lane6.NoIndex.L006	155147.0	88.0
2192.H04a.Dog.Nose.1992.lane6.NoIndex.L006	84599.0	15.0
2192.H02a.Kitchen.Counter.745.lane2.NoIndex.L002	116217.0	22.0
2192.H07b.Bedroom.Floor.4084.lane2.NoIndex.L002	79219.0	135.0
2192.H05b.Front.Door.Knob.2597.lane5.NoIndex.L005	85372.0	2.0
2192.H04a.Front.Door.Knob.1853.lane5.NoIndex.L005	55459.0	323.0
2192.H02a.Kitchen.Floor.818.lane2.NoIndex.L002	53192.0	4.0
2192.H05b.Bathroom.Door.Knob.2910.lane1.NoIndex.L001	70353.0	2.0
2192.H04a.Foot.1808.lane6.NoIndex.L006	86422.0	4.0
2192.H05b.Hand.2602.lane6.NoIndex.L006	67495.0	32.0
2192.H05b.Hand.2767.lane5.NoIndex.L005	61918.0	19.0
2192.H05b.Nose.2868.lane5.NoIndex.L005	49400.0	1.0
2192.H05b.Bathroom.Door.Knob.2838.lane1.NoIndex.L001	61845.0	2.0
2192.H01a.Front.Door.Knob.125.lane1.NoIndex.L001	108220.0	105.0
2192.H07b.Kitchen.Floor.4010.lane2.NoIndex.L002	65692.0	9.0
2192.H05b.Nose.2580.lane5.NoIndex.L005	67140.0	139.0
2192.H05b.Nose.2889.lane5.NoIndex.L005	63848.0	35.0
2192.H01a.Kitchen.Floor.242.lane2.NoIndex.L002	56838.0	47.0
2192.H01a.Hand.130.lane2.NoIndex.L002	100527.0	5.0
2192.H07a.Front.Door.Knob.3629.lane5.NoIndex.L005	51804.0	14.0
2192.H05b.Foot.2960.lane5.NoIndex.L005	60206.0	168.0
2192.H03a.Kitchen.Light.Switch.1299.lane5.NoIndex.L005	106390.0	69.0
2192.H05b.Kitchen.Light.Switch.2451.lane2.NoIndex.L002	85770.0	65.0
2192.H06b.Kitchen.Counter.3337.lane5.NoIndex.L005	69323.0	3.0
2192.H07b.Hand.4162.lane6.NoIndex.L006	79239.0	147.0
2192.H02a.Bathroom.Door.Knob.870.lane2.NoIndex.L002	55622.0	18.0
2192.H02a.Foot.800.lane2.NoIndex.L002	77926.0	163.0
2192.H05b.Foot.2984.lane5.NoIndex.L005	55675.0	19.0
2192.H01a.Hand.31.lane1.NoIndex.L001	98664.0	8.0
2192.H04a.Bedroom.Floor.1876.lane6.NoIndex.L006	87865.0	160.0
2192.H05b.Bathroom.Door.Knob.2478.lane5.NoIndex.L005	57510.0	15.0
2192.H02a.Kitchen.Floor.602.lane2.NoIndex.L002	55866.0	61.0
2192.H01a.Hand.103.lane2.NoIndex.L002	75607.0	5.0
2192.H05b.Hand.2743.lane5.NoIndex.L005	77653.0	33.0
776.SC.BE.T3C	130615.0	17.0
776.Ant.Solo.cont.A	83170.0	22.0
776.SN.BE.T1A	148129.0	547.0
776.SC.BE.T1A	136413.0	42.0
776.Ant.Solo.cont.C	120109.0	83.0
776.SN.2.C.T1B	185036.0	245.0
776.SN.BE.T1B	146304.0	766.0
776.Ant.Solo.N.cont.A	203645.0	350.0
776.SC.BE.T1B	136139.0	43.0
776.Ant.Solo.N.cont.C	151143.0	525.0
776.SN.2.C.T3C	186524.0	120.0
776.SC.C.T3B	196279.0	30.0
776.SC.BE.T3A	143295.0	39.0
776.SC.BE.T1C	112962.0	36.0
776.SN.BE.T3A	187611.0	200.0
776.SC.C.T1B	142564.0	20.0
776.SN.2.C.T1A	133640.0	131.0
776.SN.2.C.T1C	187767.0	207.0
776.SC.C.T1C	148216.0	27.0
776.SC.C.T3A	145708.0	23.0
776.SN.2.C.T3A	174752.0	101.0
776.SN.BE.T3B	193496.0	220.0
776.Ant.Solo.cont.B	117199.0	57.0
776.SN.BE.T3C	156327.0	174.0
776.Ant.Solo.N.cont.B	160790.0	704.0
776.SN.2.C.T3B	149408.0	104.0
776.SC.BE.T3B	158863.0	21.0
776.SC.C.T1A	140215.0	68.0
776.SC.C.T3C	163811.0	31.0
889.26May.1	14491.0	1.0
889.25May.4	11215.0	1.0
1043.Tabonuco.26C.Control.TP1.04	171193.0	1.0
1043.Tabonuco.26C.BC.TP1.01	192013.0	1.0
1043.Hopland.20C.Control.TP1.04	196470.0	1.0
1043.Tabonuco.26C.BC.TP1.02	109903.0	2.0
1043.Tabonuco.20C.Control.TP1.04	125810.0	1.0
1043.Hopland.14C.Wood.TP1.01	250409.0	61.0
1043.Hopland.14C.Control.TP1.03	224858.0	8.0
1043.Hopland.14C.Control.TP1.02	217496.0	8.0
1043.Hopland.14C.Wood.TP1.04	235162.0	21.0
1043.Hopland.20C.BC.TP1.02	216843.0	12.0
1043.Hopland.14C.BC.TP1.03	253545.0	15.0
1043.Hopland.20C.BC.TP1.04	167516.0	9.0
1043.Tabonuco.26C.BC.TP1.04	208157.0	2.0
1043.Tabonuco.26C.Wood.TP1.03	264418.0	1.0
1043.Start.Hopland.20C.T0.04	242446.0	21.0
1043.Tabonuco.20C.BC.TP1.03	349710.0	9.0
1043.Tabonuco.20C.Control.TP1.03	155531.0	1.0
1043.Hopland.14C.Control.TP1.01	265633.0	11.0
1043.Hopland.20C.Control.TP1.03	214036.0	9.0
1043.Tabonuco.26C.Start.T0.03	155693.0	2.0
1043.Tabonuco.26C.BC.TP1.03	214704.0	5.0
1043.Start.Hopland.14C.T0.01	215017.0	1.0
1043.Tabonuco.20C.BC.TP1.04	192044.0	9.0
1043.Hopland.20C.Wood.TP1.02	255475.0	66.0
1043.Hopland.20C.Control.TP1.02	251934.0	15.0
1043.Hopland.20C.Wood.TP1.03	249789.0	23.0
1043.Tabonuco.26C.Control.TP1.02	125467.0	1.0
1043.Hopland.14C.Control.TP1.04	187530.0	6.0
1043.Tabonuco.20C.Wood.TP1.03	158064.0	1.0
1043.Start.Hopland.14C.T0.02	198319.0	10.0
1043.Hopland.20C.Wood.TP1.04	246554.0	35.0
1043.Hopland.20C.BC.TP1.01	192697.0	16.0
1043.Hopland.14C.BC.TP1.01	259558.0	17.0
1043.Hopland.14C.Wood.TP1.03	238979.0	19.0
1043.Tabonuco.20C.Wood.TP1.02	170878.0	3.0
1043.Hopland.20C.Wood.TP1.01	269537.0	42.0
1043.Tabonuco.26C.Wood.TP1.01	203728.0	3.0
1043.Tabonuco.20C.BC.TP1.02	149562.0	5.0
1043.Start.Hopland.20C.T0.03	232643.0	18.0
1043.Hopland.14C.BC.TP1.02	154751.0	14.0
1043.Hopland.20C.BC.TP1.03	259204.0	14.0
1043.Hopland.20C.Control.TP1.01	261181.0	16.0
1043.Hopland.14C.BC.TP1.04	237633.0	7.0
1043.Hopland.14C.Wood.TP1.02	276101.0	18.0
940.CR.26.Ventral	41391.0	22.0
940.CR.35.Dorsal	71419.0	14.0
940.CR.19.Ventral	23248.0	6.0
940.CR.53.Ventral	25289.0	45.0
940.CR.28.Dorsal	82170.0	5.0
940.CR.25.Oral	42736.0	1.0
940.RD.14.Ventral	52037.0	121.0
940.CR.20.Ventral	29939.0	12.0
940.RD.11.Ventral	50537.0	1.0
940.CR.22.Ventral	18260.0	2.0
940.P.14.Fecal	34063.0	3.0
940.RD.02.Ventral	41437.0	8.0
940.P.11.Fecal	27993.0	4.0
940.CR.34.Gill	25068.0	1.0
940.CR.25.Ventral	31998.0	6.0
940.CR.11.Ventral	33063.0	3.0
940.CR.18.Ventral	94065.0	44.0
940.CR.11.Dorsal	40605.0	347.0
940.CR.17.Ventral	29859.0	73.0
940.CR.11.Oral	35728.0	42.0
940.RD.04.Ventral	50089.0	2.0
940.RD.31.Ventral	41029.0	35.0
940.RD.18.Ventral	56629.0	67.0
940.P.05.Fecal	18403.0	2.0
940.P.03.Fecal	34665.0	4.0
940.GH.Water	52101.0	12.0
940.CR.50.Fecal	38000.0	1.0
940.CR.18.Fecal	42836.0	2.0
940.CR.11.Gill	109005.0	8.0
940.CR.13.Ventral	24290.0	9.0
940.CR.28.Oral	48575.0	11.0
940.CR.25.Dorsal	43429.0	15.0
940.CR.28.Fecal	63536.0	1.0
940.CR.31.Ventral	40362.0	44.0
940.CR.12.Ventral	27977.0	8.0
940.CR.35.Gill	29420.0	13.0
940.CR.14.Ventral	94387.0	10.0
940.CR.35.Oral	56687.0	3.0
940.CR.57.Fecal	41595.0	12.0
940.CR.28.Ventral	39457.0	15.0
940.CR.30.Ventral	55592.0	117.0
940.CR.07.Ventral	62045.0	7.0
940.RD.38.Ventral	143870.0	6.0
807.S.F.10.b	56106.0	1.0
10246.L.I5	25938.0	4.0
10246.PP.B2	7446.0	11.0
10246.ER.I10	5826.0	7.0
10246.PP.B4	11645.0	14.0
659.NZFACE.R6.Browntop	176077.0	8.0
659.NZFACE.R2.Browntop	164927.0	96.0
659.NZFACE.R5.warm	148028.0	36.0
659.NZFACE.R2.control.23.4	134079.0	53.0
659.NZFACE.R5.Ryegrass	160087.0	66.0
659.NZFACE.R3.Ryegrass.19.7	209941.0	79.0
659.NZFACE.R1.warm	187067.0	45.0
659.NZFACE.R6.control	158058.0	19.0
659.NZFACE.R1.control.19.4	206874.0	32.0
659.NZFACE.R3.control.19.4	171744.0	17.0
659.NZFACE.R3.Browntop	173589.0	46.0
659.NZFACE.R4.Browntop	207919.0	90.0
659.NZFACE.R4.control.19.8	104370.0	26.0
659.NZFACE.R5.Browntop	139067.0	29.0
659.NZFACE.R6.warm	183824.0	30.0
659.NZFACE.R3.warm	213334.0	48.0
659.NZFACE.R6.Ryegrass	242493.0	25.0
659.NZFACE.R1.Ryegrass.26.4	214314.0	157.0
659.NZFACE.R4.warm	111915.0	15.0
659.NZFACE.R4.Ryegrass.16.4	167979.0	14.0
659.NZFACE.R1.Browntop	545858.0	209.0
659.NZFACE.R2.Ryegrass.24.4	168334.0	30.0
659.NZFACE.R2.warm	189676.0	46.0
10145.WB.1C.SO	142393.0	2.0
10145.NB.4A	79114.0	1.0
10145.2nd.2C.SO	120192.0	1.0
10145.WB.4C.SO	245581.0	2.0
10145.2nd.3C.SO	257012.0	1.0
10145.3rd.3B	90437.0	1.0
10145.2nd.1A.SO	102598.0	1.0
10145.2nd.4B.SO	165360.0	2.0
10145.WB.3C.SO	175091.0	2.0
10145.WB.4B	93361.0	1.0
10145.2nd.4C.SO	143226.0	2.0
10145.2nd.2A.SO	170655.0	1.0
10145.2nd.2B.SO	142001.0	1.0
10145.7th.1B	137508.0	4.0
10145.NB.3B	65194.0	34.0
10145.7th.2.5B	65201.0	34.0
10145.2nd.4A.SO	215403.0	3.0
10145.7th.3.5A	68129.0	1.0
10145.WB.2C.SO	114162.0	3.0
10145.WB.4B.SO	156731.0	1.0
10145.3rd.2B	53196.0	1.0
10145.WB.2C	3550.0	1.0
10145.WB.2B.SO	165899.0	1.0
10145.7th.1A	158423.0	2.0
1056.Myr.tri.Seat.13.04I17	9607.0	18.0
1056.Eup.sex.Mont.1.0	18930.0	2.0
1056.Pri.max.Seat.3.04L11	13356.0	2.0
1056.Myr.tri.Seat.22.04K17	17231.0	10.0
1056.Man.pen.Leip.2	19115.0	2.0
1056.Myr.tri.Seat.9.04I04	16615.0	44.0
1056.Myr.tri.Seat.8.04I18	16040.0	256.0
1056.Das.nov.Flor.5	18095.0	1.0
1056.Myr.tri.Seat.3.03O02	11564.0	36.0
1056.Myr.tri.Seat.27.04K10	31079.0	2.0
1056.Ory.afe.Colch.4	22212.0	3.0
1056.Myr.tri.Seat.7.04F07	15386.0	8.0
1056.Ory.afe.Colch.2	21068.0	4.0
1056.Ory.afe.Lond.1.1	16013.0	1.0
1056.Myr.tri.Seat.18.04L01	12481.0	64.0
1056.Myr.tri.Seat.15.04D01	18030.0	2.0
1056.Cho.did.SanDi.3	18252.0	1.0
1056.Ory.afe.Colch.6	15980.0	40.0
1056.Zae.pic.Mend.1	16071.0	5.0
1056.Cho.hof.Atlan.1.1	21371.0	1.0
1056.Tam.tet.tet.SanDi.1	23023.0	1.0
1056.Myr.tri.Seat.19.04L18	12912.0	307.0
1056.Myr.tri.Seat.25.04I12	17780.0	8.0
1056.Myr.tri.Seat.12.04F01	15025.0	4.0
1056.Das.nov.Flor.3	14963.0	3.0
1056.Myr.tri.Seat.2.03G06	12987.0	28.0
1056.Myr.tri.Seat.21.04K01	13383.0	47.0
1056.Myr.tri.Seat.17.04K13	14399.0	68.0
1056.Myr.tri.Seat.10.04F05	17626.0	47.0
1056.Myr.tri.Seat.6.04K03	19576.0	9.0
1056.Das.nov.Flori.10	12468.0	5.0
1056.Ory.afe.Colch.3	22237.0	2.0
1056.Myr.tri.Seat.26.04K16	23434.0	21.0
1056.Myr.tri.Seat.11.04F02	15309.0	16.0
1056.Ory.afe.Colch.9	22781.0	3.0
1056.Ory.afe.Colch.5	17568.0	11.0
1056.Myr.tri.Seat.14.04K04	15329.0	45.0
1056.Myr.tri.Seat.1.03E03	18629.0	2.0
1056.Das.nov.Flori.2	15277.0	1.0
1056.Myr.tri.Seat.16.04I10	17687.0	68.0
1056.Myr.tri.Seat.20.04K11	18685.0	6.0
1056.Myr.tri.Seat.4.03H10	15574.0	21.0
1056.Das.nov.Flori.9	15214.0	1.0
1056.Myr.tri.Seat.05D02	29404.0	229.0
910.AcrTA2	65785.0	1.0
1530.NC.C.U4.D9.95	528602.0	7.0
1530.NC.2004.B2.D2.3	562362.0	2.0
