	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	temp
10145.3rd.4B	154533.0	2841	9.0	1	0.0	0	12.1
10145.3rd.4B	10.0	2	10.0	2	10.0	2	12.1
10145.3rd.4B	154533.0	2841	9.0	1	0.0	0	12.1
10145.3rd.4C	103212.0	1931	68.0	2	9.0	1	12.1
10145.3rd.4C	1.0	1	1.0	1	1.0	1	12.1
10145.3rd.4C	103212.0	1931	68.0	2	9.0	1	12.1
10145.3rd.5A	210730.0	2563	0.0	0	1.0	1	12.1
10145.3rd.5A	28.0	3	28.0	3	28.0	3	12.1
10145.3rd.5A	210730.0	2563	0.0	0	1.0	1	12.1
10145.3rd.5B	205958.0	2496	2.0	1	0.0	0	12.1
10145.3rd.5B	19.0	6	19.0	6	19.0	6	12.1
10145.3rd.5B	205958.0	2496	2.0	1	0.0	0	12.1
10145.3rd.5C	245555.0	2527	5.0	1	1.0	1	12.1
10145.3rd.5C	9.0	6	9.0	6	9.0	6	12.1
10145.3rd.5C	245555.0	2527	5.0	1	1.0	1	12.1
10145.7th.1A	158423.0	1936	20.0	2	1.0	1	13.2
10145.7th.1A	1.0	1	1.0	1	1.0	1	13.2
10145.7th.1A	158423.0	1936	20.0	2	1.0	1	13.2
10145.7th.1B	137508.0	1407	1.0	1	4.0	1	13.2
10145.7th.1B	14.0	2	14.0	2	14.0	2	13.2
10145.7th.1B	137508.0	1407	1.0	1	4.0	1	13.2
10145.7th.1C	156863.0	1369	6.0	2	3.0	1	13.4
10145.7th.1C	156863.0	1369	6.0	2	3.0	1	13.4
10145.7th.2.5A	59101.0	1513	230.0	8	0.0	0	12.6
10145.7th.2.5A	59101.0	1513	230.0	8	0.0	0	12.6
10145.7th.2.5B	65201.0	1038	926.0	7	0.0	0	12.5
10145.7th.2.5B	65201.0	1038	926.0	7	0.0	0	12.5
10145.7th.2.5C	103358.0	1985	5.0	1	0.0	0	12.6
10145.7th.2.5C	103358.0	1985	5.0	1	0.0	0	12.6
10145.7th.2A	41971.0	835	19.0	2	0.0	0	13.2
10145.7th.2A	41971.0	835	19.0	2	0.0	0	13.2
10145.7th.3.5A	68129.0	1072	22.0	2	0.0	0	11.5
10145.7th.3.5A	68129.0	1072	22.0	2	0.0	0	11.5
10145.7th.3A	1.0	1	1.0	1	1.0	1	12.2
10145.7th.3C	69510.0	829	34.0	1	0.0	0	12.1
10145.7th.3C	69510.0	829	34.0	1	0.0	0	12.1
10145.7th.4A	33306.0	460	704.0	7	0.0	0	10.1
10145.7th.4A	33306.0	460	704.0	7	0.0	0	10.1
10145.7th.4C	34135.0	448	74.0	1	1.0	1	10.1
10145.7th.4C	34135.0	448	74.0	1	1.0	1	10.1
10145.7th.5A	236498.0	2277	1.0	1	1.0	1	10.1
10145.7th.5A	6.0	3	6.0	3	6.0	3	10.1
10145.7th.5A	236498.0	2277	1.0	1	1.0	1	10.1
10145.7th.5B	253642.0	2231	2.0	1	0.0	0	10.1
10145.7th.5B	9.0	5	9.0	5	9.0	5	10.1
