	N	S	N_sporeN	S_sporeN	N_sporeY	S_sporeY	temp
1288.MAE24Sept07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	16087.0	600	3.0	1	0.0	0	40.58
1288.MAE25Sept05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	55079.0	1309	0.0	0	2.0	1	7.89
1288.MAE26July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	21310.0	448	1.0	1	0.0	0	25.77
1288.MAE26July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	8614.0	347	2.0	1	0.0	0	25.77
1288.MAE26July08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	4128.0	364	1.0	1	0.0	0	19.52
1288.MAE27Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	70440.0	620	11.0	2	8.0	2	19.15
1288.MAE27Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	29703.0	502	4.0	1	4.0	1	19.15
1288.MAE27July05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	29873.0	641	0.0	0	16.0	2	6.95
1288.MAE28June07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	259528.0	1031	24.0	2	2.0	1	23.43
1288.MAE28June07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	105599.0	778	6.0	1	2.0	1	23.43
1288.MAE29July08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	7922.0	418	0.0	0	2.0	1	20.86
1288.MAE29June05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	47245.0	677	2.0	1	0.0	0	7.05
1288.MAE30Aug05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	61009.0	807	4.0	1	6.0	2	8.56
1288.MAE30July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	21734.0	426	3.0	1	0.0	0	25.37
1288.MAE30July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	8756.0	317	1.0	1	0.0	0	25.37
1288.MAH01Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	33274.0	1128	2.0	1	3.0	2	5.35
1288.MAH01June07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	16769.0	872	0.0	0	1.0	1	4.9
1288.MAH01May08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	25776.0	1086	0.0	0	1.0	1	4.37
1288.MAH04July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	18543.0	904	0.0	0	3.0	1	5.11
1288.MAH05Sept05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	50163.0	1367	1.0	1	0.0	0	0.77
1288.MAH06July05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	50898.0	1459	4.0	1	0.0	0	2.98
1288.MAH08Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	82082.0	1255	2.0	1	6.0	2	5.44
1288.MAH08Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	34569.0	977	0.0	0	2.0	2	5.44
1288.MAH08June05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	48775.0	1286	1.0	1	1.0	1	0.55
1288.MAH09Oct05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	66729.0	1508	0.0	0	3.0	2	2.03
1288.MAH10Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	59058.0	1222	2.0	2	0.0	0	5.41
1288.MAH10Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	24819.0	957	2.0	1	1.0	1	5.41
1288.MAH12Aug08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	22530.0	1012	2.0	1	0.0	0	4.88
1288.MAH12July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	27424.0	982	1.0	1	0.0	0	5.18
1288.MAH13July05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	50204.0	1459	1.0	1	5.0	3	0.76
1288.MAH13June08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	24301.0	977	0.0	0	2.0	2	4.57
1288.MAH15June05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	46393.0	1325	1.0	1	2.0	1	0.76
1288.MAH15Oct07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	25935.0	975	1.0	1	0.0	0	4.79
1288.MAH18Sept07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	13367.0	805	1.0	1	1.0	1	4.73
1288.MAH20July05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	51280.0	1407	1.0	1	1.0	1	1.34
1288.MAH20July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	13179.0	757	0.0	0	2.0	1	4.84
1288.MAH20Sept08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	245246.0	1718	0.0	0	3.0	2	6.71
1288.MAH21Aug08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	19993.0	798	1.0	1	0.0	0	6.62
1288.MAH22Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	35064.0	1080	0.0	0	2.0	1	4.96
1288.MAH22July08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	11099.0	704	0.0	0	1.0	1	4.63
1288.MAH22June05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	91825.0	1576	1.0	1	0.0	0	0.33
1288.MAH24June08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	84305.0	1678	0.0	0	2.0	2	4.73
1288.MAH24Sept07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	32826.0	1131	0.0	0	2.0	1	5.18
1288.MAH24Sept07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	13724.0	810	0.0	0	1.0	1	5.18
1288.MAH25Sept05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	58896.0	1447	2.0	1	1.0	1	1.93
1288.MAH26July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	33267.0	1019	3.0	1	0.0	0	5.36
1288.MAH26July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	13717.0	753	2.0	1	0.0	0	5.36
1288.MAH26June07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	36862.0	1110	5.0	1	1.0	1	5.08
1288.MAH27Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	15816.0	738	0.0	0	2.0	1	26.66
1288.MAH27Aug07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	6815.0	533	0.0	0	2.0	2	26.66
1288.MAH27July05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	46737.0	1325	2.0	1	5.0	1	1.02
1288.MAH28June07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.1.1.sequence	146539.0	1742	4.0	1	3.0	1	5.05
1288.MAH28June07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence	61101.0	1371	0.0	0	1.0	1	5.05
1288.MAH29July08.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	20705.0	1023	0.0	0	1.0	1	5.03
1288.MAH29June05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	52689.0	1324	0.0	0	1.0	1	1.19
1288.MAH30Aug05.McMahon.Pool.4.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.4.1.sequence	49253.0	1328	1.0	1	0.0	0	0.96
1288.NSB01may08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23215.0	617	1.0	1	1.0	1	6.46
1288.NSB01may08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	24403.0	720	1.0	1	3.0	2	4.3
1288.NSB01nov08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	22064.0	487	1.0	1	0.0	0	8.26
1288.NSB02jun08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23739.0	428	1.0	1	0.0	0	14.48
1288.NSB02jun08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	28065.0	763	19.0	1	0.0	0	5.65
1288.NSB03jul08E.R1.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	20591.0	572	0.0	0	1.0	1	19.9
1288.NSB03jul08E.R2.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	22896.0	578	0.0	0	2.0	1	19.9
1288.NSB03jul08H.R1.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	18024.0	702	0.0	0	1.0	1	10.38
1288.NSB03jul08H.R2.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	22273.0	803	0.0	0	3.0	2	10.38
1288.NSB03may08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	21553.0	464	1.0	1	2.0	2	7.38
1288.NSB03may08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	25468.0	668	1.0	1	2.0	2	4.33
1288.NSB04aug08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	24869.0	458	2.0	1	0.0	0	22.96
1288.NSB04oct08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	18902.0	576	3.0	2	0.0	0	15.23
1288.NSB04oct08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	33801.0	742	1.0	1	4.0	2	14.5
1288.NSB05jun08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	20610.0	420	2.0	1	0.0	0	15.18
1288.NSB05jun08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	29222.0	820	1.0	1	3.0	2	6.0
1288.NSB05may08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	19419.0	763	1.0	1	4.0	2	4.38
1288.NSB06apr08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	27631.0	765	0.0	0	3.0	3	4.13
1288.NSB07jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	24091.0	533	1.0	1	1.0	1	20.46
1288.NSB07jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	20043.0	480	0.0	0	2.0	1	17.3
1288.NSB09jun08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	28151.0	447	8.0	1	0.0	0	16.74
1288.NSB09jun08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23595.0	718	1.0	1	3.0	3	6.13
1288.NSB09oct08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	20231.0	558	3.0	2	0.0	0	13.85
1288.NSB09sep08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23965.0	598	3.0	1	0.0	0	19.66
1288.NSB09sep08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	22135.0	637	1.0	1	0.0	0	16.37
1288.NSB10jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	18828.0	447	0.0	0	1.0	1	20.18
1288.NSB11aug08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	20472.0	562	2.0	1	1.0	1	20.27
1288.NSB11aug08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	12538.0	539	0.0	0	1.0	1	15.55
1288.NSB13jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	17798.0	436	1.0	1	0.0	0	20.48
1288.NSB13jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23669.0	542	2.0	2	0.0	0	19.33
1288.NSB14aug08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	14465.0	401	0.0	0	3.0	2	20.88
1288.NSB14aug08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	20671.0	554	2.0	2	0.0	0	16.0
1288.NSB14jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	20868.0	406	0.0	0	1.0	1	20.86
1288.NSB14jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	29967.0	679	1.0	1	1.0	1	19.15
1288.NSB15jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	134105.0	843	3.0	2	0.0	0	20.4
1288.NSB17jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	29428.0	444	3.0	1	0.0	0	26.5
1288.NSB17jun08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	15628.0	540	0.0	0	1.0	1	7.03
1288.NSB18aug08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	26546.0	529	5.0	1	0.0	0	22.62
1288.NSB18aug08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	36960.0	603	1.0	1	0.0	0	16.28
1288.NSB18jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	25639.0	393	1.0	1	0.0	0	24.73
1288.NSB18oct08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	25813.0	612	2.0	2	0.0	0	12.42
1288.NSB18oct08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23776.0	628	0.0	0	1.0	1	11.85
1288.NSB19jul07H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	27284.0	680	0.0	0	1.0	1	18.8
1288.NSB19jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	24084.0	450	3.0	1	0.0	0	24.6
1288.NSB21aug08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	6951.0	364	9.0	1	0.0	0	18.4
1288.NSB21jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23459.0	348	4.0	1	1.0	1	21.7
1288.NSB21may08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	38576.0	1028	1.0	1	3.0	2	4.98
1288.NSB21sep08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	21837.0	377	3.0	1	0.0	0	19.14
1288.NSB21sep08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	20675.0	494	2.0	1	3.0	2	17.45
1288.NSB22jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23345.0	659	0.0	0	2.0	2	17.95
1288.NSB23jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	21466.0	393	1.0	1	0.0	0	21.62
1288.NSB23jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	27997.0	640	0.0	0	1.0	1	17.88
1288.NSB23jun08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	26052.0	458	1.0	1	0.0	0	18.68
1288.NSB23jun08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	18509.0	601	0.0	0	1.0	1	7.1
1288.NSB23may08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	27618.0	765	1.0	1	2.0	2	5.0
1288.NSB24jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23047.0	426	3.0	1	0.0	0	22.22
1288.NSB24jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23303.0	604	0.0	0	1.0	1	17.83
1288.NSB26aug08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	28869.0	578	6.0	2	2.0	1	21.94
1288.NSB26aug08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	27619.0	573	2.0	1	1.0	1	18.25
1288.NSB26jun08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	21301.0	657	0.0	0	2.0	1	7.23
1288.NSB27sep08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	19677.0	530	1.0	1	0.0	0	17.23
1288.NSB28jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	141178.0	1229	1.0	1	4.0	3	17.12
1288.NSB28may08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	21385.0	808	3.0	1	2.0	2	5.48
1288.NSB29apr08H.R1.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	26462.0	679	0.0	0	3.0	2	4.25
1288.NSB29apr08H.R2.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	24504.0	645	0.0	0	2.0	2	4.25
1288.NSB30apr08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	14077.0	609	0.0	0	2.0	2	4.28
1288.NSB30jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	19392.0	437	9.0	2	0.0	0	23.0
1288.NSB30jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	22424.0	644	0.0	0	3.0	2	17.06
1288.NSB30jun08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	19567.0	554	1.0	1	1.0	1	16.33
1288.NSB30jun08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	26071.0	833	0.0	0	1.0	1	6.15
1288.NSB30may08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	19157.0	667	1.0	1	1.0	1	5.65
1288.NSB31aug08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	18192.0	374	1.0	1	0.0	0	23.44
1288.NSB31aug08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	23212.0	537	2.0	1	0.0	0	18.18
1288.NSB31jul08E.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	25557.0	474	11.0	2	1.0	1	22.42
1288.NSB31jul08H.McMahon.Pool.3.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.3.1.sequence	24326.0	636	1.0	1	2.0	1	16.52
1288.NSBE01Oct07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	27596.0	492	9.0	2	0.0	0	14.76
1288.NSBE01Oct07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	9907.0	302	1.0	1	0.0	0	14.76
1288.NSBE03July07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	18252.0	397	1.0	1	0.0	0	20.68
1288.NSBE03July09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	12579.0	391	0.0	0	1.0	1	16.31
1288.NSBE05June09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	144451.0	1068	4.0	1	6.0	3	16.22
1288.NSBE05June09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	49451.0	674	1.0	1	1.0	1	16.22
1288.NSBE06Aug09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	226675.0	1138	2.0	1	6.0	2	18.29
1288.NSBE06Aug09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	78236.0	820	0.0	0	1.0	1	18.29
1288.NSBE07Aug07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	141865.0	902	7.0	1	6.0	2	23.1
1288.NSBE07Aug07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	51181.0	631	3.0	1	0.0	0	23.1
1288.NSBE07July09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	12259.0	406	0.0	0	1.0	1	17.7
1288.NSBE07Nov07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	12337.0	474	1.0	1	0.0	0	5.35
1288.NSBE07Nov07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	4325.0	299	1.0	1	0.0	0	5.35
1288.NSBE08June07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	5689.0	247	1.0	1	0.0	0	16.7
1288.NSBE08June09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	148718.0	854	0.0	0	4.0	1	15.0
1288.NSBE10Sept07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	33238.0	615	0.0	0	1.0	1	18.02
1288.NSBE11June07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	20687.0	260	2.0	1	1.0	1	22.63
1288.NSBE11June07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	7157.0	160	1.0	1	0.0	0	22.63
1288.NSBE13July09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	37530.0	593	3.0	1	0.0	0	18.64
1288.NSBE13July09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	13369.0	376	1.0	1	0.0	0	18.64
1288.NSBE15June09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	22310.0	436	1.0	1	0.0	0	16.82
1288.NSBE15June09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	7728.0	278	2.0	1	0.0	0	16.82
1288.NSBE15Oct07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	6529.0	265	0.0	0	1.0	1	11.23
1288.NSBE16July07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	24643.0	478	0.0	0	1.0	1	20.08
1288.NSBE17July09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	111640.0	962	3.0	2	4.0	2	17.43
1288.NSBE17July09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	40204.0	671	1.0	1	2.0	1	17.43
1288.NSBE19July07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	25706.0	404	2.0	1	0.0	0	21.68
1288.NSBE19June07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	42878.0	466	0.0	0	2.0	1	22.33
1288.NSBE19June07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	15278.0	322	0.0	0	1.0	1	22.33
1288.NSBE21Aug07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	3094.0	272	1.0	1	0.0	0	18.9
1288.NSBE21July09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	59777.0	828	0.0	0	3.0	2	17.36
1288.NSBE21July09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.8.1.sequence	20844.0	519	0.0	0	2.0	1	17.36
1288.NSBE22June07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	36870.0	352	0.0	0	3.0	1	7.1
1288.NSBE22Oct07.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	7914.0	260	1.0	1	0.0	0	11.25
1288.NSBE23June09.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence	18441.0	374	1.0	1	0.0	0	18.51
