	P_value	Obs_num	Null_num
0	-1.737177927613007	46.9999999999	4.545898682830439
1	2.1577702905952103	46.9999999999	4.003128659421508
2	2.346118635026023	46.0	3.635227518600698
3	2.5220977279231	45.0	3.1111000059028093
4	2.5912530416743365	44.0	2.869269910473697
5	2.605665123980913	43.0	2.8201228434722205
6	2.6206936167111907	42.0	2.762816403843013
7	2.688573328964655	41.0	2.54424097015101
8	2.7248149187255017	40.0	2.436889360573122
9	2.7859417587377924	39.0	2.260198533936097
10	2.788588491351215	38.0	2.2458058671045977
11	2.966344336538806	37.0	1.686660448631482
12	3.055859235767954	36.0	1.3993385224176482
13	3.1708305654195335	35.0	1.044652653882769
14	3.184507372181034	34.0	1.007285993455338
15	3.3438760856973957	33.0	0.6402940865615595
16	3.414540685958508	32.0	0.5119756465636609
17	3.838265208950287	31.0	0.1510928608104909
18	3.9095368253187357	30.0	0.1247394293978317
19	4.438937812870569	29.0	0.036537974728564175
20	4.49855491175078	28.0	0.03308831840391728
21	4.534561003453819	27.0	0.031038311353683512
22	4.63911035502145	26.0	0.0255626779226202
23	4.785492482483805	25.0	0.019162800226187313
24	4.84031040393181	24.0	0.016934894287762767
25	4.878211703109434	23.0	0.01599575366506159
26	4.885389165310174	22.0	0.01573510544184088
27	4.992804139026895	21.0	0.012498915627829328
28	5.012033288369207	20.0	0.01182984359490741
29	5.40965711123615	19.0	0.004444930141934544
30	5.62451221328567	18.0	0.0025403310283502577
31	5.904458118818038	17.0	0.001283735688171443
32	6.631638424076972	16.0	0.0002521977820666606
33	6.7000813369626275	15.0	0.00021551698228638633
34	7.1486883232752625	14.0	7.880874661437202e-05
35	7.497857456511132	13.0	3.287404777519955e-05
36	7.71022073262011	12.0	1.952978805567156e-05
37	8.04088225154497	11.0	8.717781633821374e-06
38	8.22805178710085	10.0	5.86653248415541e-06
39	8.338215051041955	9.0	4.648831216772237e-06
40	8.47837023288593	8.0	3.5026737417770497e-06
41	8.991818514562606	7.0	1.0911962317116252e-06
42	9.052683006962708	6.0	9.420363570443882e-07
43	9.099000540231955	5.0	8.414598783456472e-07
44	9.981127128729774	4.0	1.0206130549923073e-07
45	11.419734159269652	3.0	3.9283416110186895e-09
46	16.707734844971853	2.0	1.8864809662846343e-14
47	18.213076129425367	1.0	5.520517765642627e-16
48	18.64737061132862	1e-10	2.034321972562319e-16
